Date,Time,Notetype,Maskedserial,Locality
2022-11-19,20:07:12,10,Vxxxx5749xxx,Santa Maria
2022-11-19,20:07:12,5,Uxxxx8108xxx,Santa Maria
2022-11-13,22:30:17,50,Sxxxx1885xxx,Sal
2022-11-13,22:30:17,20,Uxxxx7173xxx,Sal
2022-11-03,20:21:30,5,Wxxxx5284xxx,Santa Maria
2022-10-31,15:01:41,20,Uxxxx6504xxx,Santa Maria
2022-10-22,21:51:14,20,Xxxxx0632xxx,Praia
2022-10-22,21:51:14,20,Uxxxx9599xxx,Praia
2022-10-22,21:51:14,20,Uxxxx8143xxx,Praia
2022-10-22,21:51:14,20,Uxxxx1676xxx,Praia
2022-10-22,21:51:14,20,Uxxxx6553xxx,Praia
2022-10-22,21:51:14,20,Uxxxx7859xxx,Praia
2022-10-22,21:51:14,20,Rxxxx2623xxx,Praia
2022-10-22,21:51:14,20,Rxxxx2187xxx,Praia
2022-10-22,21:51:14,20,Mxxxx4091xxx,Praia
2022-10-22,21:51:14,20,Mxxxx1755xxx,Praia
2022-10-22,21:51:14,20,Mxxxx5900xxx,Praia
2022-10-22,21:51:14,20,Exxxx3983xxx,Praia
2022-10-22,21:51:14,20,Exxxx9024xxx,Praia
2022-10-22,21:51:14,20,Exxxx0965xxx,Praia
2022-10-22,21:42:58,20,Exxxx7344xxx,Praia
2022-10-22,21:40:26,200,Uxxxx4562xxx,Praia
2022-07-17,16:33:35,50,Vxxxx3994xxx,Praia
2022-06-12,11:39:06,50,Exxxx4588xxx,Santa Maria
2022-06-12,11:32:38,50,Exxxx0936xxx,Aspargos - Sal
2022-06-02,16:17:31,5,Mxxxx6790xxx,Santa Maria
2022-05-31,20:39:35,20,Wxxxx2585xxx,Praia
2022-05-31,20:39:35,20,Wxxxx9290xxx,Praia
2022-05-31,20:39:35,20,Vxxxx1902xxx,Praia
2022-05-31,20:39:35,20,Uxxxx2033xxx,Praia
2022-05-31,20:39:35,20,Uxxxx7138xxx,Praia
2022-05-31,20:39:35,20,Uxxxx0558xxx,Praia
2022-05-31,20:39:35,20,Uxxxx1264xxx,Praia
2022-05-31,20:39:35,20,Sxxxx0412xxx,Praia
2022-05-31,20:39:35,20,Sxxxx2359xxx,Praia
2022-05-31,20:39:35,20,Sxxxx6296xxx,Praia
2022-05-31,20:39:35,20,Sxxxx4785xxx,Praia
2022-05-31,20:39:35,20,Rxxxx1823xxx,Praia
2022-05-31,20:39:35,20,Mxxxx6851xxx,Praia
2022-05-31,20:39:35,20,Mxxxx0584xxx,Praia
2022-05-31,20:39:35,20,Exxxx8542xxx,Praia
2022-05-31,20:29:51,50,Uxxxx6826xxx,Praia
2022-05-31,20:29:51,50,Uxxxx7804xxx,Praia
2022-05-31,20:29:51,50,Uxxxx2236xxx,Praia
2022-05-31,20:29:51,50,Sxxxx8504xxx,Praia
2022-05-31,20:24:23,5,Yxxxx7058xxx,Praia
2022-05-31,20:24:23,5,Wxxxx5130xxx,Praia
2022-05-31,20:24:23,5,Uxxxx7201xxx,Praia
2022-05-31,20:24:23,5,Nxxxx2918xxx,Praia
2022-05-31,20:24:23,5,Mxxxx5559xxx,Praia
2022-05-31,20:24:23,5,Mxxxx2146xxx,Praia
2022-01-23,10:08:15,20,Zxxxx8934xxx,Espargos
2022-01-23,10:08:15,20,Uxxxx7632xxx,Espargos
2022-01-22,10:58:33,10,Pxxxx9972xxx,Santa Maria
2022-01-22,10:58:33,5,Exxxx9909xxx,Santa Maria
2022-01-22,10:58:33,50,Exxxx8465xxx,Santa Maria
2022-01-22,10:58:33,50,Wxxxx7201xxx,Santa Maria
2022-01-16,23:24:08,20,Exxxx0319xxx,Santa Maria
2022-01-15,12:27:11,10,Uxxxx9114xxx,Santa Maria
2022-01-14,23:16:53,5,Nxxxx0206xxx,Santa Maria
2022-01-13,11:55:51,50,Uxxxx4714xxx,Santa Maria
2022-01-12,20:41:42,50,Pxxxx9083xxx,Santa Maria
2022-01-02,14:47:56,5,Vxxxx6291xxx,Espargos
