Date,Time,Notetype,Maskedserial,Locality
2022-11-10,12:51:32,50,Uxxxx5501xxx,Santiago
2022-11-10,12:51:06,50,Zxxxx9014xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx3512xxx,Santiago
2022-11-10,12:51:06,50,Zxxxx9749xxx,Santiago
2022-11-10,12:51:06,50,Rxxxx9204xxx,Santiago
2022-11-10,12:51:06,50,Rxxxx9458xxx,Santiago
2022-11-10,12:51:06,50,Rxxxx3550xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx7258xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx4877xxx,Santiago
2022-11-10,12:51:06,50,Wxxxx2324xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx6996xxx,Santiago
2022-11-10,12:51:06,50,Vxxxx7828xxx,Santiago
2022-11-10,12:51:06,50,Rxxxx4396xxx,Santiago
2022-11-10,12:51:06,50,Vxxxx7473xxx,Santiago
2022-11-10,12:51:06,50,Zxxxx0404xxx,Santiago
2022-11-10,12:51:06,50,Xxxxx4475xxx,Santiago
2022-11-10,12:51:06,50,Vxxxx7077xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx0262xxx,Santiago
2022-11-10,12:51:06,50,Rxxxx9631xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx3378xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx8907xxx,Santiago
2022-11-10,12:51:06,50,Vxxxx7366xxx,Santiago
2022-11-10,12:51:06,50,Exxxx1013xxx,Santiago
2022-11-10,12:51:06,50,Uxxxx2743xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx3618xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx6203xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx9171xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx2247xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx7712xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx8247xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx3938xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx3562xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx4119xxx,Santiago
2022-11-10,12:23:02,50,Zxxxx9262xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx5259xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx5953xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx4320xxx,Santiago
2022-11-10,12:23:02,50,Rxxxx3612xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx4814xxx,Santiago
2022-11-10,12:23:02,50,Zxxxx3076xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx4213xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx8266xxx,Santiago
2022-11-10,12:23:02,50,Rxxxx4478xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx1765xxx,Santiago
2022-11-10,12:23:02,50,Sxxxx8234xxx,Santiago
2022-11-10,12:23:02,50,Zxxxx7236xxx,Santiago
2022-11-10,12:23:02,50,Zxxxx0496xxx,Santiago
2022-11-10,12:23:02,50,Zxxxx0183xxx,Santiago
2022-11-10,12:23:02,50,Uxxxx7233xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx3914xxx,Santiago
2022-11-10,11:39:37,50,Rxxxx8081xxx,Santiago
2022-11-10,11:39:37,50,Mxxxx5959xxx,Santiago
2022-11-10,11:39:37,50,Exxxx6875xxx,Santiago
2022-11-10,11:39:37,50,Sxxxx9951xxx,Santiago
2022-11-10,11:39:37,50,Sxxxx7557xxx,Santiago
2022-11-10,11:39:37,50,Zxxxx3103xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx2020xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx6909xxx,Santiago
2022-11-10,11:39:37,50,Vxxxx9485xxx,Santiago
2022-11-10,11:39:37,50,Zxxxx6248xxx,Santiago
2022-11-10,11:39:37,50,Vxxxx6919xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx3324xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx6573xxx,Santiago
2022-11-10,11:39:37,50,Rxxxx4035xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx4282xxx,Santiago
2022-11-10,11:39:37,50,Exxxx6915xxx,Santiago
2022-11-10,11:39:37,50,Sxxxx2708xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx4495xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx4859xxx,Santiago
2022-11-10,11:39:37,50,Sxxxx2548xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx9559xxx,Santiago
2022-11-10,11:39:37,50,Vxxxx1388xxx,Santiago
2022-11-10,11:39:37,50,Uxxxx5262xxx,Santiago
2022-11-10,11:39:37,50,Wxxxx2595xxx,Santiago
2022-10-26,16:02:29,50,Vxxxx1420xxx,Santiago
2022-10-26,16:02:29,50,Vxxxx2146xxx,Santiago
2022-10-26,16:02:29,50,Uxxxx1968xxx,Santiago
2022-10-26,16:02:29,50,Wxxxx8327xxx,Santiago
2022-10-26,16:02:29,50,Sxxxx2315xxx,Santiago
2022-10-26,16:02:29,50,Uxxxx5956xxx,Santiago
2022-10-26,16:02:29,50,Uxxxx1496xxx,Santiago
2022-10-26,16:02:29,50,Uxxxx6140xxx,Santiago
2022-10-26,16:02:29,50,Uxxxx3432xxx,Santiago
2022-10-26,16:02:29,50,Mxxxx3402xxx,Santiago
2022-10-23,21:47:56,50,Sxxxx8594xxx,Santiago
2022-10-23,21:47:56,50,Exxxx7674xxx,Santiago
2022-10-23,21:47:56,50,Mxxxx9354xxx,Santiago
2022-10-23,21:47:56,50,Exxxx1892xxx,Santiago
2022-10-23,21:47:56,50,Yxxxx3286xxx,Santiago
2022-10-23,21:47:56,50,Wxxxx8587xxx,Santiago
2022-10-23,21:47:56,50,Vxxxx9987xxx,Santiago
2022-10-23,21:47:56,50,Yxxxx3262xxx,Santiago
2022-10-23,21:47:56,50,Uxxxx9148xxx,Santiago
2022-10-23,21:47:56,50,Yxxxx8994xxx,Santiago
2022-10-23,21:47:56,50,Sxxxx4568xxx,Santiago
2022-10-23,21:47:56,50,Wxxxx5244xxx,Santiago
2022-10-23,21:47:56,50,Vxxxx1434xxx,Santiago
2022-10-23,21:47:56,50,Uxxxx9885xxx,Santiago
2022-10-23,21:47:56,50,Uxxxx7268xxx,Santiago
2022-10-23,21:47:56,50,Vxxxx1434xxx,Santiago
2022-10-23,21:39:47,50,Uxxxx3798xxx,Santiago
2022-10-23,21:39:47,50,Exxxx1008xxx,Santiago
2022-10-23,21:39:47,50,Uxxxx9103xxx,Santiago
2022-10-23,21:39:47,50,Sxxxx5188xxx,Santiago
2022-10-23,21:39:47,50,Vxxxx8603xxx,Santiago
2022-10-23,21:37:15,50,Mxxxx2909xxx,Santiago
2022-10-23,21:37:15,50,Mxxxx6387xxx,Santiago
2022-10-23,21:37:15,50,Rxxxx7456xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx5083xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx6020xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx6142xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx0126xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx7341xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx2686xxx,Santiago
2022-10-23,21:37:15,50,Vxxxx6074xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx1496xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx7406xxx,Santiago
2022-10-23,21:37:15,50,Zxxxx0627xxx,Santiago
2022-10-23,21:37:15,50,Vxxxx1762xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx7794xxx,Santiago
2022-10-23,21:37:15,50,Uxxxx5145xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx6216xxx,Santiago
2022-10-23,21:30:02,50,Vxxxx8187xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx6126xxx,Santiago
2022-10-23,21:30:02,50,Vxxxx5666xxx,Santiago
2022-10-23,21:30:02,50,Rxxxx0992xxx,Santiago
2022-10-23,21:30:02,50,Sxxxx9956xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx7673xxx,Santiago
2022-10-23,21:30:02,50,Sxxxx4297xxx,Santiago
2022-10-23,21:30:02,50,Zxxxx1103xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx3432xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx1192xxx,Santiago
2022-10-23,21:30:02,50,Sxxxx0015xxx,Santiago
2022-10-23,21:30:02,50,Uxxxx3657xxx,Santiago
2022-10-23,21:30:02,50,Zxxxx4197xxx,Santiago
2022-10-23,21:30:02,50,Zxxxx0975xxx,Santiago
2022-10-23,21:30:02,50,Vxxxx9713xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx5828xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx4365xxx,Santiago
2022-10-23,21:19:09,50,Wxxxx2769xxx,Santiago
2022-10-23,21:19:09,50,Vxxxx3084xxx,Santiago
2022-10-23,21:19:09,50,Rxxxx2146xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx4302xxx,Santiago
2022-10-23,21:19:09,50,Zxxxx4648xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx2838xxx,Santiago
2022-10-23,21:19:09,50,Pxxxx3880xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx8306xxx,Santiago
2022-10-23,21:19:09,50,Sxxxx4337xxx,Santiago
2022-10-23,21:19:09,50,Zxxxx1665xxx,Santiago
2022-10-23,21:19:09,50,Uxxxx5369xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx4683xxx,Santiago
2022-10-23,21:13:10,50,Zxxxx2959xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx4683xxx,Santiago
2022-10-23,21:13:10,50,Wxxxx4271xxx,Santiago
2022-10-23,21:13:10,50,Rxxxx9149xxx,Santiago
2022-10-23,21:13:10,50,Wxxxx4118xxx,Santiago
2022-10-23,21:13:10,50,Pxxxx9737xxx,Santiago
2022-10-23,21:13:10,50,Vxxxx2039xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx9403xxx,Santiago
2022-10-23,21:13:10,50,Zxxxx5551xxx,Santiago
2022-10-23,21:13:10,50,Wxxxx3294xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx6296xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx9612xxx,Santiago
2022-10-23,21:13:10,50,Uxxxx3140xxx,Santiago
2022-10-23,21:13:10,50,Vxxxx5361xxx,Santiago
2022-10-22,11:41:27,50,Mxxxx1717xxx,Santiago
2022-10-22,11:40:07,50,Uxxxx4878xxx,Santiago
2022-10-22,11:40:07,50,Sxxxx7677xxx,Santiago
2022-08-10,11:01:40,50,Pxxxx3537xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx2760xxx,Santiago
2022-08-10,11:01:40,50,Mxxxx1799xxx,Santiago
2022-08-10,11:01:40,50,Wxxxx4932xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx3864xxx,Santiago
2022-08-10,11:01:40,50,Sxxxx7147xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx5642xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx6009xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx6892xxx,Santiago
2022-08-10,11:01:40,50,Uxxxx0019xxx,Santiago
2022-08-10,11:01:40,50,Zxxxx5400xxx,Santiago
2022-08-10,10:54:22,50,Rxxxx0156xxx,Santiago
2022-08-10,10:54:22,50,Uxxxx8822xxx,Santiago
2022-08-10,10:54:22,50,Wxxxx7232xxx,Santiago
2022-08-10,10:54:22,50,Rxxxx1546xxx,Santiago
2022-08-10,10:54:22,50,Uxxxx7104xxx,Santiago
2022-07-21,16:14:57,50,Uxxxx9681xxx,Santiago
2022-07-21,16:14:57,50,Uxxxx6141xxx,Santiago
2022-07-21,16:14:57,50,Sxxxx4189xxx,Santiago
2022-07-21,16:14:57,50,Zxxxx0012xxx,Santiago
2022-07-21,16:14:57,50,Uxxxx1843xxx,Santiago
2022-07-21,16:14:57,50,Uxxxx4119xxx,Santiago
2022-07-21,16:14:57,50,Wxxxx7620xxx,Santiago
2022-07-21,16:14:57,50,Sxxxx2338xxx,Santiago
2022-07-21,16:14:57,50,Uxxxx0210xxx,Santiago
2022-07-21,16:14:57,50,Exxxx2564xxx,Santiago
2022-07-20,13:40:05,50,Rxxxx1161xxx,Santiago
2022-07-20,13:40:05,50,Sxxxx6751xxx,Santiago
