Date,Time,Notetype,Maskedserial,Locality
2022-12-03,23:31:53,20,Uxxxx6950xxx,Zagreb
2022-11-29,10:31:33,10,Vxxxx5311xxx,Zagreb
2022-11-29,10:31:33,5,Vxxxx3325xxx,Zagreb
2022-11-27,21:06:43,5,Vxxxx9956xxx,Buje
2022-11-25,22:04:43,20,Exxxx1607xxx,Zagreb
2022-11-25,22:04:43,20,Rxxxx2023xxx,Zagreb
2022-11-25,22:04:43,20,Sxxxx9354xxx,Zagreb
2022-11-25,22:04:43,20,Uxxxx3256xxx,Zagreb
2022-11-25,22:04:43,20,Uxxxx7521xxx,Zagreb
2022-11-25,22:04:42,10,Yxxxx2923xxx,Zagreb
2022-11-25,22:04:42,10,Yxxxx9144xxx,Zagreb
2022-11-25,22:04:42,10,Uxxxx5838xxx,Zagreb
2022-11-25,22:04:42,10,Vxxxx5579xxx,Zagreb
2022-11-20,18:51:20,50,Wxxxx1134xxx,Zagreb
2022-11-20,18:51:20,20,Uxxxx2825xxx,Zagreb
2022-11-20,18:51:20,20,Exxxx2697xxx,Zagreb
2022-11-20,18:51:20,20,Rxxxx1106xxx,Zagreb
2022-11-20,18:51:20,20,Uxxxx3590xxx,Zagreb
2022-11-20,18:51:20,20,Mxxxx9005xxx,Zagreb
2022-11-20,18:51:20,10,Uxxxx4927xxx,Zagreb
2022-11-20,18:51:20,10,Nxxxx0086xxx,Zagreb
2022-11-20,18:51:20,10,Wxxxx6992xxx,Zagreb
2022-11-20,18:51:20,10,Exxxx5057xxx,Zagreb
2022-11-20,18:51:20,10,Sxxxx0103xxx,Zagreb
2022-11-20,18:51:20,10,Uxxxx1129xxx,Zagreb
2022-11-20,18:51:20,10,Pxxxx8987xxx,Zagreb
2022-11-20,18:51:20,10,Fxxxx6303xxx,Zagreb
2022-11-20,18:51:20,10,Yxxxx7782xxx,Zagreb
2022-11-20,18:51:20,10,Vxxxx4846xxx,Zagreb
2022-11-20,14:48:58,100,Exxxx2241xxx,Ozalj
2022-11-20,14:48:00,100,Exxxx0308xxx,Ozalj
2022-11-19,17:50:12,10,Nxxxx3939xxx,Dugo Selo
2022-11-19,17:50:12,10,Uxxxx6378xxx,Dugo Selo
2022-11-19,17:50:12,10,Pxxxx9544xxx,Dugo Selo
2022-11-19,17:50:12,10,Pxxxx6582xxx,Dugo Selo
2022-11-19,17:50:12,10,Pxxxx0116xxx,Dugo Selo
2022-11-19,17:50:12,20,Zxxxx7581xxx,Dugo Selo
2022-11-19,17:50:12,200,Nxxxx4537xxx,Dugo Selo
2022-11-12,20:31:49,5,Mxxxx1857xxx,Umag
2022-11-12,20:31:49,5,Mxxxx5325xxx,Umag
2022-11-12,20:31:49,5,Mxxxx0392xxx,Umag
2022-11-12,20:31:49,5,Txxxx8347xxx,Umag
2022-11-12,20:31:49,5,Sxxxx4810xxx,Umag
2022-11-06,21:00:10,20,Sxxxx5767xxx,Buje
2022-11-04,18:45:06,20,Sxxxx1503xxx,Zagreb
2022-11-04,18:45:06,10,Exxxx9817xxx,Zagreb
2022-11-04,18:38:21,50,Rxxxx8215xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx3177xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx4781xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx4781xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx4781xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx4781xxx,Zagreb
2022-11-04,18:38:21,50,Sxxxx4781xxx,Zagreb
