Date,Time,Notetype,Maskedserial,Locality
2022-12-03,22:39:48,10,Txxxx1596xxx,Nicosia
2022-12-03,22:39:19,5,Uxxxx8166xxx,Nicosia
2022-12-03,22:38:38,100,Sxxxx3750xxx,Nicosia
2022-12-03,22:38:08,100,Sxxxx3750xxx,Nicosia
2022-12-03,20:38:13,100,Sxxxx3750xxx,Nicosia
2022-12-03,20:34:58,5,Sxxxx7823xxx,Nicosia
2022-12-02,16:09:34,50,Uxxxx5371xxx,Girne
2022-12-02,16:09:34,50,Uxxxx4067xxx,Girne
2022-12-02,16:09:34,50,Uxxxx4655xxx,Girne
2022-12-02,16:09:34,200,Exxxx6158xxx,Girne
2022-12-02,16:09:34,100,Sxxxx0133xxx,Girne
2022-12-02,09:17:51,100,Sxxxx8134xxx,Larnaca
2022-12-02,09:17:51,100,Sxxxx1048xxx,Larnaca
2022-12-02,09:11:26,200,Xxxxx2592xxx,Larnaca
2022-12-02,09:11:26,200,Lxxxx3966xxx,Larnaca
2022-12-02,09:11:26,200,Lxxxx9711xxx,Larnaca
2022-12-01,15:06:31,50,Uxxxx4836xxx,Limassol
2022-12-01,15:06:31,50,Rxxxx7637xxx,Limassol
2022-12-01,15:06:31,20,Rxxxx6485xxx,Limassol
2022-11-23,22:22:34,50,Vxxxx1331xxx,Pegeia
2022-11-23,15:34:46,20,Sxxxx8324xxx,Limassol
2022-11-23,15:34:46,20,Fxxxx7555xxx,Limassol
2022-11-23,15:34:46,20,Uxxxx4890xxx,Limassol
2022-11-23,15:34:46,50,Uxxxx3632xxx,Limassol
2022-11-23,15:34:46,50,Wxxxx2220xxx,Limassol
2022-11-21,19:43:41,50,Wxxxx5632xxx,Pegeia
2022-11-21,19:43:41,10,Wxxxx6596xxx,Pegeia
2022-11-21,19:43:41,10,Fxxxx3671xxx,Pegeia
2022-11-20,09:31:06,5,Nxxxx2053xxx,Limassol
2022-11-19,20:11:27,10,Exxxx3028xxx,Famagusta
2022-11-19,20:11:27,10,Wxxxx9480xxx,Famagusta
2022-11-19,20:11:27,10,Exxxx7647xxx,Famagusta
2022-11-19,20:11:27,10,Exxxx0979xxx,Famagusta
2022-11-19,20:11:26,10,Exxxx2173xxx,Famagusta
2022-11-19,20:11:26,20,Uxxxx2781xxx,Famagusta
2022-11-19,20:11:26,5,Mxxxx8972xxx,Famagusta
2022-11-19,20:11:26,50,Uxxxx1869xxx,Famagusta
2022-11-19,20:11:26,20,Rxxxx9960xxx,Famagusta
2022-11-19,20:11:26,20,Rxxxx2039xxx,Famagusta
2022-11-19,17:27:36,20,Fxxxx3584xxx,Limassol
2022-11-19,06:02:21,50,Pxxxx3856xxx,Girne
2022-11-19,05:57:53,10,Exxxx7968xxx,Nikosia
2022-11-19,05:57:53,20,Sxxxx4135xxx,Nikosia
2022-11-18,16:40:30,5,Nxxxx8923xxx,Paphos
2022-11-18,16:39:51,10,Rxxxx8181xxx,Paphos
2022-11-18,16:39:16,20,Sxxxx7015xxx,Paphos
2022-11-17,20:29:06,10,Txxxx7894xxx,Pegeia
2022-11-17,17:12:14,50,Vxxxx8471xxx,Pegeia
2022-11-16,16:57:00,10,Wxxxx4873xxx,Limassol
2022-11-16,14:41:13,20,Exxxx4420xxx,Limassol
2022-11-16,14:41:13,10,Txxxx9611xxx,Limassol
2022-11-16,14:41:13,5,Nxxxx2654xxx,Limassol
2022-11-15,18:16:44,5,Mxxxx5636xxx,Pegeia
2022-11-15,18:16:44,5,Nxxxx6758xxx,Pegeia
2022-11-15,18:16:43,10,Nxxxx3191xxx,Pegeia
2022-11-13,21:48:12,20,Sxxxx2947xxx,Pegeia
2022-11-13,21:48:12,20,Uxxxx1608xxx,Pegeia
2022-11-13,21:48:12,5,Mxxxx8966xxx,Pegeia
2022-11-13,21:48:12,5,Vxxxx0611xxx,Pegeia
2022-11-13,21:48:12,5,Mxxxx2839xxx,Pegeia
2022-11-13,21:48:12,20,Exxxx7394xxx,Pegeia
2022-11-13,21:48:12,10,Xxxxx4174xxx,Pegeia
2022-11-13,16:42:22,10,Exxxx2122xxx,Limassol
2022-11-13,16:42:22,5,Mxxxx6697xxx,Limassol
2022-11-12,16:31:47,20,Fxxxx4571xxx,Limassol
2022-11-12,16:31:47,20,Rxxxx8755xxx,Limassol
