Date,Time,Notetype,Maskedserial,Locality
2022-11-04,15:59:38,20,Rxxxx1439xxx,
2022-11-04,15:59:38,20,Rxxxx5501xxx,
2022-11-04,15:59:38,20,Rxxxx0268xxx,
2022-11-04,15:59:38,20,Txxxx5394xxx,
2022-11-04,15:59:38,20,Exxxx0264xxx,
2022-11-03,00:29:39,50,Uxxxx5547xxx,
2022-11-01,12:54:56,5,Wxxxx3752xxx,Havneby
2022-10-26,15:24:37,50,Exxxx7418xxx,
2022-10-19,23:22:08,20,Nxxxx1447xxx,Middelfart
2022-10-12,00:04:49,5,Nxxxx4420xxx,Ishøj
2022-09-27,09:48:08,50,Wxxxx9884xxx,Sønderborg
2022-09-21,15:58:36,20,Wxxxx5718xxx,
2022-09-19,18:07:46,50,Rxxxx3610xxx,Tønder
2022-09-19,18:06:36,50,Vxxxx2173xxx,Tønder
2022-09-19,18:05:22,50,Uxxxx3271xxx,Tønder
2022-09-17,23:18:56,50,Sxxxx1129xxx,Copenhagen
2022-09-17,23:18:56,50,Sxxxx8761xxx,Copenhagen
2022-09-17,23:18:56,10,Sxxxx9014xxx,Copenhagen
2022-09-17,23:18:56,10,Vxxxx5279xxx,Copenhagen
2022-09-17,23:18:56,5,Nxxxx6666xxx,Copenhagen
2022-09-11,12:31:22,20,Uxxxx9828xxx,Viby
2022-09-11,12:30:30,20,Rxxxx7831xxx,Viby
2022-09-11,12:30:30,20,Exxxx0227xxx,Viby
2022-09-09,09:09:47,20,Zxxxx3604xxx,Viby
2022-09-09,09:09:47,20,Uxxxx0236xxx,Viby
2022-09-09,09:09:47,20,Uxxxx0940xxx,Viby
2022-09-09,09:09:47,20,Zxxxx2236xxx,Viby
2022-09-09,09:09:47,20,Uxxxx7081xxx,Viby
2022-09-09,09:09:47,20,Zxxxx1005xxx,Viby
2022-09-09,09:06:43,20,Rxxxx7131xxx,Viby
2022-09-09,07:28:00,20,Uxxxx5303xxx,Viby
2022-09-09,07:27:01,20,Nxxxx5848xxx,Viby
2022-09-09,07:27:01,20,Sxxxx8564xxx,Viby
2022-09-09,07:23:28,20,Exxxx7997xxx,Viby
2022-09-09,07:23:28,20,Vxxxx6528xxx,Viby
2022-09-08,14:58:56,5,Vxxxx7453xxx,Rømø
2022-09-08,14:58:56,5,Vxxxx5180xxx,Rømø
2022-09-08,14:55:41,5,Sxxxx0629xxx,Sydals
2022-09-08,14:55:28,5,Zxxxx5531xxx,Sydals
2022-09-08,14:52:03,20,Uxxxx8676xxx,Krusa
2022-09-08,14:51:43,10,Uxxxx2334xxx,Krusa
2022-09-08,14:51:07,10,Fxxxx0843xxx,Krusa
2022-09-08,14:50:43,5,Mxxxx5975xxx,Krusa
2022-09-08,13:25:36,20,Uxxxx9674xxx,Rønne
2022-09-06,18:28:40,5,Wxxxx3636xxx,Gentofte
2022-09-06,18:28:40,5,Mxxxx7027xxx,Gentofte
2022-09-04,12:01:30,5,Nxxxx1843xxx,Glostrup
2022-08-30,19:58:15,5,Nxxxx5982xxx,Rødby
2022-08-29,22:49:17,10,Fxxxx7026xxx,Gentofte
2022-08-29,22:49:17,10,Vxxxx5028xxx,Gentofte
2022-08-29,22:49:17,10,Fxxxx3509xxx,Gentofte
2022-08-29,22:49:17,10,Xxxxx9388xxx,Gentofte
2022-08-29,22:49:17,5,Sxxxx8450xxx,Gentofte
2022-08-29,22:49:17,5,Mxxxx3242xxx,Gentofte
2022-08-29,22:42:52,50,Wxxxx4110xxx,Gentofte
2022-08-25,17:00:00,500,Xxxxx2272xxx,Odense
2022-08-24,21:35:08,50,Pxxxx2581xxx,Odense
2022-08-19,16:15:27,20,Fxxxx0937xxx,Billund
2022-08-19,16:15:27,20,Fxxxx4851xxx,Billund
2022-08-19,16:15:27,20,Sxxxx1512xxx,Billund
2022-08-19,16:15:27,20,Wxxxx3140xxx,Billund
2022-08-19,16:15:27,20,Fxxxx9334xxx,Billund
2022-08-16,18:13:59,5,Wxxxx2197xxx,Rødby
2022-08-16,18:13:59,5,Nxxxx0557xxx,Rødby
2022-08-16,18:13:14,20,Uxxxx0061xxx,Rødby
2022-08-16,18:13:14,20,Rxxxx1924xxx,Rødby
2022-08-15,08:45:59,50,Rxxxx4541xxx,Boeslum
2022-08-15,08:45:59,50,Uxxxx2546xxx,Boeslum
2022-08-14,16:07:28,5,Vxxxx0235xxx,Rødby
2022-08-14,16:06:55,10,Fxxxx0705xxx,Rødby
2022-08-14,16:04:44,50,Exxxx3267xxx,Maribo
2022-08-14,08:20:42,5,Nxxxx2819xxx,Sjællands Odde
2022-08-10,22:51:26,50,Rxxxx7448xxx,Thorsminde
2022-08-10,22:49:32,50,Pxxxx2569xxx,Vejlby Klit
2022-08-10,14:42:05,20,Zxxxx8796xxx,Vorupør
2022-08-10,14:41:45,20,Uxxxx2261xxx,Vorupør
2022-08-10,14:41:26,20,Uxxxx1402xxx,Vorupør
2022-08-10,14:19:07,20,Uxxxx7192xxx,Klitmøller
2022-08-10,14:19:05,20,Exxxx5222xxx,Klitmøller
2022-08-10,14:18:58,20,Sxxxx2450xxx,Klitmøller
2022-08-10,14:16:25,20,Exxxx2743xxx,Hanstholm
2022-08-10,14:16:05,20,Xxxxx3756xxx,Hanstholm
2022-08-10,14:15:45,20,Exxxx8196xxx,Hanstholm
2022-08-10,14:13:22,20,Rxxxx7573xxx,Thisted
2022-08-10,14:12:39,20,Zxxxx1946xxx,Thisted
2022-08-10,14:12:02,20,Sxxxx1496xxx,Thisted
2022-08-10,14:09:01,20,Nxxxx8407xxx,Løkken
2022-08-10,14:08:45,20,Uxxxx7093xxx,Løkken
2022-08-10,14:08:19,20,Xxxxx9170xxx,Løkken
2022-08-10,14:06:43,50,Rxxxx2607xxx,Hjørring
2022-08-10,14:02:04,50,Exxxx9290xxx,Hirtshals
2022-08-10,13:59:35,50,Uxxxx8755xxx,Skagen
2022-08-10,13:52:03,50,Exxxx8272xxx,Frederikshavn
2022-08-10,13:46:00,50,Exxxx7596xxx,Dronninglund
2022-08-10,13:45:00,50,Rxxxx2833xxx,Hals
2022-08-09,17:41:36,20,Uxxxx0590xxx,Rømø
2022-08-09,17:35:09,10,Sxxxx9348xxx,Rømø
2022-08-09,17:35:09,5,Mxxxx8084xxx,Rømø
2022-08-09,17:35:09,5,Txxxx1767xxx,Rømø
2022-08-08,22:07:15,50,Pxxxx5821xxx,Odense
2022-08-08,22:07:15,50,Wxxxx1493xxx,Odense
2022-08-08,09:30:40,50,Rxxxx1577xxx,Copenhagen
2022-08-08,09:30:06,50,Vxxxx7351xxx,Copenhagen
2022-08-08,09:28:48,20,Exxxx8874xxx,Copenhagen
2022-08-08,09:28:06,20,Exxxx0592xxx,Copenhagen
2022-08-08,09:27:04,5,Yxxxx2808xxx,Copenhagen
2022-08-07,19:15:41,50,Uxxxx9410xxx,Søndervig
2022-08-07,19:15:41,50,Vxxxx9362xxx,Søndervig
2022-08-07,19:15:41,50,Vxxxx5931xxx,Søndervig
2022-08-07,19:15:40,50,Zxxxx4012xxx,Søndervig
2022-08-07,10:23:28,50,Sxxxx1730xxx,Grenaa
2022-08-07,10:21:42,5,Mxxxx9379xxx,Glesborg
2022-08-07,10:21:42,5,Exxxx5972xxx,Glesborg
2022-08-07,10:21:42,5,Vxxxx9868xxx,Glesborg
2022-08-07,10:21:42,5,Vxxxx6847xxx,Glesborg
2022-08-07,10:19:49,50,Uxxxx5800xxx,Allingåbro
2022-08-06,17:49:50,5,Nxxxx2850xxx,Tønder
2022-08-06,12:37:51,50,Uxxxx1796xxx,Juelsminde
2022-08-05,14:42:18,50,Uxxxx5124xxx,Ebeltoft
2022-08-04,23:48:56,5,Yxxxx2491xxx,Gedser
2022-07-31,14:27:34,5,Zxxxx7101xxx,Maribo
2022-07-31,08:16:46,50,Sxxxx9209xxx,Mårup
2022-07-31,08:13:22,20,Vxxxx7403xxx,Tranebjerg
2022-07-31,08:13:04,20,Rxxxx3043xxx,Tranebjerg
2022-07-31,08:12:48,20,Xxxxx0455xxx,Tranebjerg
2022-07-31,08:11:20,20,Rxxxx6582xxx,Kalundborg
2022-07-31,08:11:04,20,Uxxxx5659xxx,Kalundborg
2022-07-31,08:10:46,20,Sxxxx0600xxx,Kalundborg
2022-07-31,08:09:35,50,Exxxx1020xxx,Skælskør
