Date,Time,Notetype,Maskedserial,Locality
2022-12-04,09:57:30,10,Wxxxx9355xxx,Räpina
2022-12-04,09:57:06,5,Mxxxx7957xxx,Räpina
2022-12-04,09:56:36,20,Sxxxx8863xxx,Räpina
2022-12-04,09:56:14,50,Rxxxx9739xxx,Räpina
2022-12-04,09:55:49,50,Uxxxx0226xxx,Räpina
2022-12-04,09:55:24,50,Rxxxx3154xxx,Räpina
2022-12-04,09:54:57,50,Uxxxx2665xxx,Räpina
2022-12-04,09:54:34,50,Rxxxx7676xxx,Räpina
2022-12-04,09:54:09,5,Uxxxx3212xxx,Räpina
2022-12-04,09:53:45,5,Mxxxx7927xxx,Räpina
2022-12-04,09:49:44,50,Pxxxx0317xxx,Räpina
2022-12-04,09:49:17,20,Uxxxx8389xxx,Räpina
2022-12-04,09:48:47,20,Uxxxx6715xxx,Räpina
2022-12-04,09:48:09,5,Vxxxx0546xxx,Räpina
2022-12-04,01:13:44,50,Rxxxx2133xxx,Tallinna
2022-12-04,01:12:59,20,Lxxxx4360xxx,Tallinna
2022-12-04,01:12:59,20,Exxxx5622xxx,Tallinna
2022-12-04,01:11:43,10,Exxxx2754xxx,Tallinna
2022-12-04,01:11:43,10,Txxxx7277xxx,Tallinna
2022-12-04,01:09:47,5,Uxxxx3093xxx,Tallinna
2022-12-04,01:09:47,5,Yxxxx7423xxx,Tallinna
2022-12-04,01:09:47,5,Vxxxx7753xxx,Tallinna
2022-12-04,00:50:56,20,Exxxx7246xxx,Tallinna
2022-12-04,00:47:43,10,Xxxxx1857xxx,Tallinna
2022-12-04,00:41:11,20,Exxxx5622xxx,Tallinna
2022-12-04,00:40:04,10,Nxxxx1525xxx,Tallinna
2022-12-04,00:39:08,5,Yxxxx7969xxx,Tallinna
2022-12-04,00:35:54,50,Mxxxx9499xxx,Tallinna
2022-12-04,00:34:57,10,Exxxx8304xxx,Tallinna
2022-12-04,00:34:57,10,Exxxx8687xxx,Tallinna
2022-12-04,00:33:33,10,Yxxxx0034xxx,Tallinna
2022-12-04,00:32:04,5,Vxxxx9006xxx,Tallinna
2022-12-04,00:32:04,5,Sxxxx6762xxx,Tallinna
2022-12-04,00:32:04,5,Nxxxx3284xxx,Tallinna
2022-12-04,00:27:20,50,Wxxxx0959xxx,Tallinna
2022-12-04,00:26:14,20,Sxxxx3299xxx,Tallinna
2022-12-04,00:24:57,10,Rxxxx9137xxx,Tallinna
2022-12-04,00:23:51,5,Vxxxx1972xxx,Tallinna
2022-12-04,00:23:51,5,Vxxxx1547xxx,Tallinna
2022-12-04,00:20:53,5,Uxxxx7341xxx,Tallinna
2022-12-04,00:19:22,20,Mxxxx2447xxx,Tallinna
2022-12-04,00:18:35,10,Xxxxx9238xxx,Tallinna
2022-12-03,21:00:25,5,Yxxxx3743xxx,Kuressaare
2022-12-03,20:59:24,5,Zxxxx0107xxx,Kuressaare
2022-12-03,19:54:18,20,Exxxx0998xxx,Tallinna
2022-12-03,19:53:44,10,Fxxxx1758xxx,Tallinna
2022-12-03,19:52:33,5,Uxxxx5414xxx,Tallinna
2022-12-03,14:28:53,5,Txxxx8715xxx,Tallinn
2022-12-03,14:28:53,5,Yxxxx1334xxx,Tallinn
2022-12-03,14:28:53,5,Nxxxx5815xxx,Tallinn
2022-12-03,14:26:23,5,Uxxxx3142xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx0849xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx8080xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx7843xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx2895xxx,Tallinn
2022-12-03,14:26:23,5,Uxxxx3943xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx3017xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx8132xxx,Tallinn
2022-12-03,14:26:23,5,Yxxxx5891xxx,Tallinn
2022-12-03,14:26:23,5,Vxxxx7052xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx2851xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx7370xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx3038xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx9045xxx,Tallinn
2022-12-03,14:26:23,5,Uxxxx7272xxx,Tallinn
2022-12-03,14:26:23,5,Txxxx8120xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx9045xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx9043xxx,Tallinn
2022-12-03,14:26:23,5,Uxxxx0123xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx7943xxx,Tallinn
2022-12-03,14:26:23,5,Yxxxx5202xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx3007xxx,Tallinn
2022-12-03,14:26:23,5,Mxxxx8029xxx,Tallinn
2022-12-03,14:26:23,5,Zxxxx0588xxx,Tallinn
2022-12-03,14:26:23,5,Uxxxx3458xxx,Tallinn
2022-12-03,14:12:53,5,Uxxxx3456xxx,Tallinn
2022-12-03,14:12:53,5,Uxxxx3564xxx,Tallinn
2022-12-03,14:12:53,5,Nxxxx6194xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx7981xxx,Tallinn
2022-12-03,14:12:53,5,Uxxxx7236xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx2964xxx,Tallinn
2022-12-03,14:12:53,5,Uxxxx4126xxx,Tallinn
2022-12-03,14:12:53,5,Yxxxx8581xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx8044xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx0802xxx,Tallinn
2022-12-03,14:12:53,5,Yxxxx8683xxx,Tallinn
2022-12-03,14:12:53,5,Nxxxx4725xxx,Tallinn
2022-12-03,14:12:53,5,Uxxxx9923xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx9056xxx,Tallinn
2022-12-03,14:12:53,5,Mxxxx3967xxx,Tallinn
2022-12-03,14:12:52,5,Yxxxx6864xxx,Tallinn
2022-12-03,14:12:52,5,Yxxxx7162xxx,Tallinn
2022-12-03,14:12:52,5,Uxxxx1484xxx,Tallinn
2022-12-03,14:12:52,5,Nxxxx8240xxx,Tallinn
2022-12-03,14:12:52,5,Nxxxx6030xxx,Tallinn
2022-12-03,14:12:52,5,Zxxxx9299xxx,Tallinn
2022-12-03,14:03:47,5,Yxxxx1653xxx,Tallinn
2022-12-03,12:24:04,10,Vxxxx9891xxx,Tallinn
2022-12-03,12:24:04,10,Exxxx1892xxx,Tallinn
2022-12-03,12:24:04,10,Exxxx6627xxx,Tallinn
2022-12-03,12:24:04,5,Uxxxx0417xxx,Tallinn
2022-12-02,21:08:56,10,Exxxx0591xxx,Tallinn
2022-12-02,21:08:56,5,Mxxxx3010xxx,Tallinn
2022-12-02,21:08:56,5,Sxxxx7760xxx,Tallinn
2022-12-02,20:51:14,5,Mxxxx6966xxx,Haapsalu
2022-12-02,20:51:14,5,Mxxxx0789xxx,Haapsalu
2022-12-02,15:30:01,20,Exxxx3012xxx,Tartu
2022-12-02,15:29:27,5,Uxxxx3239xxx,Tartu
2022-12-02,15:29:04,5,Uxxxx3165xxx,Tartu
2022-12-02,15:28:41,5,Nxxxx3773xxx,Tartu
2022-12-02,13:09:38,5,Nxxxx2301xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx2974xxx,Tallinn
2022-12-02,13:09:38,5,Uxxxx2031xxx,Tallinn
2022-12-02,13:09:38,5,Nxxxx5963xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx3127xxx,Tallinn
2022-12-02,13:09:38,5,Yxxxx6541xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx2945xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx8018xxx,Tallinn
2022-12-02,13:09:38,5,Uxxxx2583xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx8030xxx,Tallinn
2022-12-02,13:09:38,5,Yxxxx7514xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx2927xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx5457xxx,Tallinn
2022-12-02,13:09:38,5,Uxxxx5397xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx8138xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx7912xxx,Tallinn
2022-12-02,13:09:38,5,Uxxxx0391xxx,Tallinn
2022-12-02,13:09:38,5,Nxxxx3643xxx,Tallinn
2022-12-02,13:09:38,5,Uxxxx2040xxx,Tallinn
2022-12-02,13:09:38,5,Nxxxx4700xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx7836xxx,Tallinn
2022-12-02,13:09:38,5,Yxxxx5222xxx,Tallinn
2022-12-02,13:09:38,5,Vxxxx6214xxx,Tallinn
2022-12-02,13:09:38,5,Mxxxx7851xxx,Tallinn
2022-12-02,12:57:41,10,Wxxxx9358xxx,Tallinn
2022-12-02,12:57:41,5,Vxxxx4344xxx,Tallinn
2022-12-02,12:44:12,5,Vxxxx7184xxx,Tallinn
2022-12-02,12:43:44,5,Uxxxx0787xxx,Tallinn
2022-12-02,12:42:44,5,Mxxxx7924xxx,Tallinn
2022-12-02,08:18:31,50,Dxxxx0392xxx,Palivere
2022-12-02,07:38:18,10,Pxxxx9017xxx,Palivere
2022-12-02,07:28:15,5,Yxxxx5025xxx,Palivere
2022-12-02,07:28:15,20,Exxxx6171xxx,Palivere
2022-12-02,07:28:15,20,Sxxxx7227xxx,Palivere
2022-12-02,07:28:15,20,Sxxxx1056xxx,Palivere
2022-12-02,07:28:15,10,Exxxx9614xxx,Palivere
2022-12-02,07:28:15,10,Wxxxx1197xxx,Palivere
2022-12-01,20:51:30,5,Vxxxx2884xxx,Palivere
2022-12-01,20:51:30,5,Yxxxx6563xxx,Palivere
2022-12-01,20:51:30,5,Mxxxx4000xxx,Palivere
2022-12-01,20:16:59,50,Zxxxx5377xxx,Tallinn
2022-12-01,20:16:59,20,Rxxxx5121xxx,Tallinn
2022-12-01,20:16:59,10,Wxxxx9411xxx,Tallinn
2022-12-01,20:15:43,5,Nxxxx8622xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx6419xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx2951xxx,Tallinn
2022-12-01,20:15:43,5,Vxxxx2131xxx,Tallinn
2022-12-01,20:15:43,5,Vxxxx5106xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx7221xxx,Tallinn
2022-12-01,20:15:43,5,Yxxxx6593xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx8403xxx,Tallinn
2022-12-01,20:15:43,5,Yxxxx8560xxx,Tallinn
2022-12-01,20:15:43,5,Yxxxx9485xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx1964xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx2683xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx3131xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx0413xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx3045xxx,Tallinn
2022-12-01,20:15:43,5,Yxxxx8163xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx7709xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx8040xxx,Tallinn
2022-12-01,20:15:43,5,Vxxxx4316xxx,Tallinn
2022-12-01,20:15:43,5,Yxxxx5478xxx,Tallinn
2022-12-01,20:15:43,5,Mxxxx8131xxx,Tallinn
2022-12-01,20:15:43,5,Uxxxx4291xxx,Tallinn
2022-12-01,20:06:23,5,Mxxxx3020xxx,Tallinn
2022-12-01,18:02:49,20,Sxxxx0178xxx,Kuressaare
2022-12-01,17:50:29,10,Exxxx2659xxx,Tartto
2022-12-01,16:43:28,5,Yxxxx8044xxx,Tallinn
2022-12-01,16:05:40,50,Wxxxx8053xxx,Tallinn
2022-12-01,16:05:40,50,Rxxxx6105xxx,Tallinn
2022-12-01,16:05:40,50,Sxxxx9512xxx,Tallinn
2022-12-01,16:05:40,50,Sxxxx6022xxx,Tallinn
2022-12-01,16:05:40,50,Sxxxx5969xxx,Tallinn
2022-12-01,16:05:40,50,Pxxxx9628xxx,Tallinn
2022-12-01,16:05:40,50,Rxxxx7498xxx,Tallinn
2022-12-01,16:05:40,50,Rxxxx2212xxx,Tallinn
2022-12-01,16:05:40,50,Uxxxx0608xxx,Tallinn
2022-12-01,16:05:40,50,Wxxxx7276xxx,Tallinn
2022-12-01,16:05:40,50,Uxxxx0608xxx,Tallinn
2022-12-01,16:05:40,50,Uxxxx0608xxx,Tallinn
2022-12-01,16:05:40,50,Uxxxx9352xxx,Tallinn
2022-12-01,16:05:40,50,Exxxx4455xxx,Tallinn
2022-12-01,16:05:40,50,Pxxxx0037xxx,Tallinn
2022-12-01,16:02:17,50,Rxxxx1283xxx,Tallinn
