Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:13:21,10,Uxxxx8590xxx,Parkano
2022-12-04,11:12:21,50,Pxxxx7402xxx,Parkano
2022-12-04,11:11:37,50,Pxxxx2744xxx,Parkano
2022-12-04,11:11:21,50,Pxxxx9620xxx,Espoo
2022-12-04,11:11:21,50,Exxxx3705xxx,Espoo
2022-12-04,11:11:21,50,Uxxxx1753xxx,Espoo
2022-12-04,11:11:21,50,Pxxxx0625xxx,Espoo
2022-12-04,11:11:21,50,Rxxxx3090xxx,Espoo
2022-12-04,11:10:16,10,Wxxxx1050xxx,Parkano
2022-12-04,11:09:26,5,Uxxxx6533xxx,Parkano
2022-12-04,11:09:13,50,Pxxxx0536xxx,Seinäjoki
2022-12-04,11:08:23,5,Uxxxx7852xxx,Parkano
2022-12-04,11:08:10,5,Wxxxx1999xxx,Espoo
2022-12-04,11:05:12,10,Txxxx0222xxx,Siilinjärvi
2022-12-04,11:04:32,5,Txxxx8747xxx,Siilinjärvi
2022-12-04,10:46:32,5,Yxxxx7018xxx,Savonlinna
2022-12-04,10:46:32,5,Uxxxx8643xxx,Savonlinna
2022-12-04,10:46:32,5,Nxxxx8233xxx,Savonlinna
2022-12-04,10:46:32,5,Txxxx9200xxx,Savonlinna
2022-12-04,10:46:32,5,Txxxx8705xxx,Savonlinna
2022-12-04,10:42:25,5,Vxxxx0560xxx,Hattula
2022-12-04,10:41:35,5,Uxxxx4776xxx,Hattula
2022-12-04,10:41:10,20,Uxxxx9812xxx,Siilinjärvi
2022-12-04,10:40:58,5,Vxxxx6170xxx,Hattula
2022-12-04,10:40:23,10,Exxxx5617xxx,Hattula
2022-12-04,10:39:00,5,Uxxxx9327xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx4491xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx3813xxx,Virrat
2022-12-04,10:39:00,5,Zxxxx9013xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx3924xxx,Virrat
2022-12-04,10:39:00,5,Uxxxx2630xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx0280xxx,Virrat
2022-12-04,10:39:00,5,Uxxxx6460xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx4251xxx,Virrat
2022-12-04,10:39:00,5,Vxxxx2836xxx,Virrat
2022-12-04,10:31:02,5,Uxxxx1349xxx,Virrat
2022-12-04,10:31:02,5,Uxxxx8081xxx,Virrat
2022-12-04,10:31:02,5,Uxxxx3046xxx,Virrat
2022-12-04,10:31:02,5,Nxxxx6160xxx,Virrat
2022-12-04,10:31:02,5,Mxxxx2614xxx,Virrat
2022-12-04,10:31:02,5,Uxxxx9967xxx,Virrat
2022-12-04,10:31:02,5,Vxxxx2104xxx,Virrat
2022-12-04,10:24:49,10,Exxxx2211xxx,Virrat
2022-12-04,10:24:49,10,Yxxxx9540xxx,Virrat
2022-12-04,10:24:49,10,Vxxxx0427xxx,Virrat
2022-12-04,10:24:49,10,Exxxx1146xxx,Virrat
2022-12-04,10:24:49,10,Yxxxx7388xxx,Virrat
2022-12-04,10:24:49,10,Uxxxx2042xxx,Virrat
2022-12-04,10:24:49,10,Exxxx9727xxx,Virrat
2022-12-04,10:24:49,10,Uxxxx3250xxx,Virrat
2022-12-04,10:20:29,20,Exxxx4676xxx,Virrat
2022-12-04,10:20:29,20,Exxxx0173xxx,Virrat
2022-12-04,10:20:29,20,Uxxxx6701xxx,Virrat
2022-12-04,10:20:29,20,Uxxxx2883xxx,Virrat
2022-12-04,10:20:29,20,Exxxx2734xxx,Virrat
2022-12-04,10:20:29,20,Nxxxx3778xxx,Virrat
2022-12-04,10:20:29,20,Uxxxx6059xxx,Virrat
2022-12-04,10:20:29,20,Uxxxx3438xxx,Virrat
2022-12-04,10:20:29,20,Exxxx0176xxx,Virrat
2022-12-04,10:20:29,20,Uxxxx1902xxx,Virrat
2022-12-04,10:17:44,20,Exxxx0080xxx,Virrat
2022-12-04,10:17:44,20,Sxxxx7596xxx,Virrat
2022-12-04,10:17:44,20,Exxxx3850xxx,Virrat
2022-12-04,10:15:34,50,Xxxxx0395xxx,Virrat
2022-12-04,10:14:33,50,Uxxxx2356xxx,Virrat
2022-12-04,10:14:33,50,Uxxxx1334xxx,Virrat
2022-12-04,10:14:33,50,Uxxxx2278xxx,Virrat
2022-12-04,10:13:20,50,Exxxx8292xxx,Virrat
2022-12-04,10:13:20,50,Pxxxx3349xxx,Virrat
2022-12-04,10:08:28,5,Vxxxx8813xxx,Joensuu
2022-12-04,10:08:28,5,Wxxxx0623xxx,Joensuu
2022-12-04,10:08:05,200,Uxxxx2163xxx,Virrat
2022-12-04,10:02:13,20,Exxxx6504xxx,Vaasa
2022-12-04,10:01:45,10,Uxxxx1190xxx,Joensuu
2022-12-04,10:01:45,10,Pxxxx8013xxx,Joensuu
2022-12-04,10:01:45,10,Exxxx9799xxx,Joensuu
2022-12-04,09:59:05,5,Txxxx8926xxx,Joensuu
2022-12-04,09:55:33,10,Exxxx3201xxx,Joensuu
2022-12-04,09:55:33,10,Exxxx2489xxx,Joensuu
2022-12-04,09:55:33,10,Uxxxx1499xxx,Joensuu
2022-12-04,09:55:33,10,Exxxx9745xxx,Joensuu
2022-12-04,09:55:33,10,Yxxxx0975xxx,Joensuu
2022-12-04,09:55:33,10,Sxxxx0857xxx,Joensuu
2022-12-04,09:54:41,50,Exxxx6590xxx,Kotka
2022-12-04,09:53:59,50,Exxxx4102xxx,Kotka
2022-12-04,09:53:13,20,Uxxxx7289xxx,Kotka
2022-12-04,09:52:20,20,Uxxxx1821xxx,Kotka
2022-12-04,09:40:42,10,Exxxx1776xxx,Joensuu
2022-12-04,09:39:55,50,Exxxx3293xxx,Laukaa
2022-12-04,09:34:17,50,Exxxx5921xxx,Joensuu
2022-12-04,09:34:17,50,Pxxxx0023xxx,Joensuu
2022-12-04,09:34:17,50,Pxxxx8511xxx,Joensuu
2022-12-04,09:34:17,50,Uxxxx4743xxx,Joensuu
