Date,Time,Notetype,Maskedserial,Locality
2022-11-22,13:19:53,50,Sxxxx1977xxx,Tbilisi
2022-11-22,13:19:53,50,Uxxxx8343xxx,Tbilisi
2022-11-22,13:19:53,50,Exxxx7109xxx,Tbilisi
2022-11-22,13:19:53,50,Pxxxx0551xxx,Tbilisi
2022-10-27,22:57:17,20,Vxxxx6230xxx,Tbilisi
2022-10-13,20:40:50,5,Nxxxx8329xxx,Tbilisi
2022-10-09,22:35:31,20,Uxxxx9320xxx,Tbilisi
2022-09-11,23:30:46,5,Txxxx1314xxx,Tbilisi
2022-08-22,21:26:46,10,Wxxxx4675xxx,Tbilisi
2022-08-03,01:27:01,10,Pxxxx0560xxx,Tbilisi
2022-08-03,01:27:01,5,Mxxxx7795xxx,Tbilisi
2022-06-29,07:16:50,5,Vxxxx6311xxx,Kutaisi
2022-06-11,06:28:06,50,Rxxxx4205xxx,Kutaisi
2022-06-11,06:26:46,10,Wxxxx6904xxx,Kutaisi
2022-06-11,05:56:44,5,Nxxxx4968xxx,Kutaisi
2022-06-11,05:53:30,50,Vxxxx4681xxx,Kutaisi
2022-06-11,05:51:54,50,Vxxxx3105xxx,Kutaisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,16:43:01,10,Wxxxx6901xxx,Tbilisi
2022-06-09,09:58:25,5,Sxxxx0341xxx,Tbilisi
2022-06-07,10:10:53,10,Wxxxx6913xxx,Tbilisi
2022-06-07,10:10:53,10,Wxxxx6913xxx,Tbilisi
2022-06-07,10:10:53,10,Wxxxx6913xxx,Tbilisi
2022-06-07,10:10:53,10,Wxxxx6913xxx,Tbilisi
2022-06-06,04:53:20,20,Rxxxx8439xxx,Tbilisi
2022-05-28,12:22:20,10,Wxxxx6062xxx,Tbilisi
2022-05-28,12:22:20,5,Nxxxx1476xxx,Tbilisi
2022-05-28,12:22:20,5,Zxxxx5044xxx,Tbilisi
2022-05-11,16:07:23,50,Exxxx2151xxx,Tbilisi
2022-04-27,15:38:03,10,Wxxxx5177xxx,Tbilisi
2022-04-27,15:38:03,10,Wxxxx5177xxx,Tbilisi
2022-04-27,15:38:03,10,Wxxxx5177xxx,Tbilisi
2022-04-27,15:38:03,10,Wxxxx5177xxx,Tbilisi
2022-04-21,20:36:32,10,Wxxxx6009xxx,Tbilisi
2022-04-21,20:36:32,10,Wxxxx6009xxx,Tbilisi
2022-04-21,20:36:32,10,Wxxxx6009xxx,Tbilisi
2022-04-21,20:36:32,10,Wxxxx6009xxx,Tbilisi
2022-04-20,22:54:47,20,Mxxxx1048xxx,Tbilisi
2022-04-20,22:54:47,10,Wxxxx5861xxx,Tbilisi
2022-04-18,13:07:50,10,Pxxxx2834xxx,Tbilisi
2022-04-16,20:35:11,50,Sxxxx4870xxx,Tiflis
2022-04-16,20:35:11,50,Uxxxx6240xxx,Tiflis
2022-04-16,20:35:11,50,Sxxxx8541xxx,Tiflis
2022-04-16,20:35:11,50,Sxxxx1155xxx,Tiflis
2022-04-15,12:49:43,20,Txxxx0834xxx,Tbilisi
2022-04-15,05:07:22,5,Nxxxx1255xxx,Tbilisi
2022-04-15,05:06:22,10,Wxxxx3363xxx,Tbilisi
2022-04-02,14:53:05,20,Rxxxx3986xxx,Tbilisi
2022-03-28,15:31:44,10,Wxxxx3020xxx,Tbilisi
2022-03-26,07:24:10,200,Sxxxx7293xxx,Tbilisi
2022-03-26,07:24:10,50,Uxxxx8934xxx,Tbilisi
2022-03-26,07:24:10,10,Wxxxx5789xxx,Tbilisi
2022-03-26,07:21:49,50,Mxxxx0534xxx,Tbilisi
2022-03-17,14:11:54,10,Wxxxx5786xxx,Tbilisi
2022-02-11,07:49:34,20,Uxxxx7295xxx,Tbilisi
