Date,Time,Notetype,Maskedserial,Locality
2022-12-04,09:52:22,50,Vxxxx3225xxx,Athens
2022-12-04,09:51:49,50,Vxxxx3225xxx,Athens
2022-12-04,09:51:18,50,Yxxxx4541xxx,Athens
2022-12-04,09:50:49,50,Sxxxx7179xxx,Athens
2022-12-04,09:49:57,20,Uxxxx0763xxx,Athens
2022-12-04,09:49:30,20,Sxxxx3628xxx,Athens
2022-12-04,09:48:53,20,Mxxxx1008xxx,Athens
2022-12-04,09:48:24,20,Sxxxx7768xxx,Athens
2022-12-04,09:43:28,20,Uxxxx2706xxx,Athens
2022-12-04,09:42:36,20,Uxxxx2425xxx,Athens
2022-12-04,09:42:06,20,Uxxxx6511xxx,Athens
2022-12-04,09:41:38,20,Xxxxx3829xxx,Athens
2022-12-04,09:39:57,5,Nxxxx6408xxx,Athens
2022-12-04,09:22:44,20,Yxxxx4794xxx,Αθήνα
2022-12-04,09:22:44,20,Uxxxx4879xxx,Αθήνα
2022-12-04,08:24:29,5,Nxxxx8822xxx,Chania
2022-12-04,08:24:29,5,Zxxxx3817xxx,Chania
2022-12-04,08:24:29,5,Uxxxx3941xxx,Chania
2022-12-04,08:24:29,5,Vxxxx5306xxx,Chania
2022-12-04,08:24:29,5,Nxxxx4764xxx,Chania
2022-12-04,08:24:29,5,Vxxxx3505xxx,Chania
2022-12-04,08:24:29,5,Zxxxx8250xxx,Chania
2022-12-04,08:20:02,20,Uxxxx0675xxx,Chania
2022-12-04,08:20:02,20,Exxxx7776xxx,Chania
2022-12-04,08:20:02,10,Fxxxx7250xxx,Chania
2022-12-04,08:20:02,50,Exxxx8688xxx,Chania
2022-12-04,08:09:25,10,Yxxxx8099xxx,Αθηνα
2022-12-04,01:22:42,50,Exxxx5724xxx,Θεσσαλονίκη
2022-12-03,22:04:19,10,Nxxxx3555xxx,Αθήνα
2022-12-03,21:38:10,20,Fxxxx9343xxx,Pallini
2022-12-03,19:13:40,5,Nxxxx2185xxx,Ζωγράφου
2022-12-03,19:13:40,10,Uxxxx9250xxx,Ζωγράφου
2022-12-03,19:11:29,10,Nxxxx2167xxx,Αθήνα
2022-12-03,19:07:34,20,Exxxx6817xxx,Athens
2022-12-03,19:07:20,20,Sxxxx6026xxx,Athens
2022-12-03,19:07:03,20,Exxxx9794xxx,Athens
2022-12-03,19:06:48,20,Exxxx0506xxx,Athens
2022-12-03,19:06:27,10,Yxxxx2391xxx,Athens
2022-12-03,15:31:12,10,Yxxxx2777xxx,Piraeus
2022-12-03,15:31:12,20,Rxxxx8687xxx,Piraeus
2022-12-03,15:31:12,50,Sxxxx6864xxx,Piraeus
2022-12-03,15:31:12,50,Rxxxx1137xxx,Piraeus
2022-12-03,14:53:25,50,Rxxxx1343xxx,Piraeus
2022-12-03,14:53:25,20,Rxxxx3890xxx,Piraeus
