Date,Time,Notetype,Maskedserial,Locality
2022-10-04,21:15:30,50,Vxxxx8103xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx4225xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx9226xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx7601xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx4934xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx8556xxx,Tegucigalpa
2022-10-04,21:15:30,50,Uxxxx4054xxx,Tegucigalpa
2022-10-04,21:15:30,50,Vxxxx8556xxx,Tegucigalpa
2022-10-04,21:15:30,20,Rxxxx0502xxx,Tegucigalpa
2022-10-04,21:15:30,20,Sxxxx8088xxx,Tegucigalpa
2022-10-04,21:15:30,20,Uxxxx9175xxx,Tegucigalpa
2022-10-04,21:15:30,20,Uxxxx2709xxx,Tegucigalpa
2022-10-04,21:15:30,10,Yxxxx4787xxx,Tegucigalpa
2022-10-04,21:15:30,5,Nxxxx1958xxx,Tegucigalpa
2022-10-04,21:15:30,5,Vxxxx9220xxx,Tegucigalpa
2022-09-26,21:22:20,100,Exxxx1374xxx,Tegucigalpa
2022-09-26,21:22:20,50,Sxxxx3971xxx,Tegucigalpa
2022-09-26,21:22:20,50,Sxxxx3143xxx,Tegucigalpa
2022-09-26,21:22:20,50,Vxxxx5247xxx,Tegucigalpa
2022-09-26,21:22:20,50,Sxxxx3843xxx,Tegucigalpa
2022-09-26,21:22:20,50,Sxxxx2875xxx,Tegucigalpa
2022-09-26,21:22:20,50,Sxxxx4075xxx,Tegucigalpa
2022-09-26,21:22:20,20,Rxxxx1198xxx,Tegucigalpa
2022-09-26,21:22:20,20,Sxxxx9006xxx,Tegucigalpa
2022-09-26,21:22:20,20,Rxxxx1907xxx,Tegucigalpa
2022-09-26,21:22:20,20,Rxxxx5531xxx,Tegucigalpa
2022-09-26,21:22:20,20,Exxxx2565xxx,Tegucigalpa
2022-09-26,21:05:38,100,Exxxx1373xxx,Tegucigalpa
2022-09-26,21:05:38,50,Rxxxx5047xxx,Tegucigalpa
2022-09-26,21:05:38,50,Exxxx7717xxx,Tegucigalpa
2022-09-26,21:05:38,50,Vxxxx2502xxx,Tegucigalpa
2022-09-26,21:05:38,50,Vxxxx9755xxx,Tegucigalpa
2022-09-26,21:05:38,50,Vxxxx1634xxx,Tegucigalpa
2022-09-26,21:05:38,50,Vxxxx6938xxx,Tegucigalpa
2022-09-26,21:05:38,50,Vxxxx4801xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx7964xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx2612xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx6449xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx4721xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx8400xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx5039xxx,Tegucigalpa
2022-09-26,21:05:38,5,Yxxxx0028xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx2293xxx,Tegucigalpa
2022-09-26,21:05:38,5,Exxxx2266xxx,Tegucigalpa
2022-09-26,21:05:38,5,Vxxxx2091xxx,Tegucigalpa
2022-09-26,19:02:01,50,Exxxx3473xxx,Tegucigalpa
2022-09-26,18:59:40,100,Vxxxx1295xxx,Tegucigalpa
2022-09-26,18:59:40,50,Uxxxx3602xxx,Tegucigalpa
2022-09-26,18:59:40,50,Wxxxx5424xxx,Tegucigalpa
2022-09-26,18:59:40,50,Wxxxx1858xxx,Tegucigalpa
2022-09-26,18:59:40,50,Vxxxx8377xxx,Tegucigalpa
2022-09-26,18:59:40,50,Vxxxx4399xxx,Tegucigalpa
2022-09-26,18:59:40,50,Pxxxx8828xxx,Tegucigalpa
2022-09-26,18:59:40,20,Uxxxx3921xxx,Tegucigalpa
2022-09-26,18:59:40,20,Vxxxx7621xxx,Tegucigalpa
2022-09-26,18:46:48,10,Uxxxx2651xxx,Tegucigalpa
