Date,Time,Notetype,Maskedserial,Locality
2022-12-03,21:13:47,20,Uxxxx9350xxx,Sárvár
2022-12-03,21:13:47,20,Exxxx5814xxx,Sárvár
2022-12-02,21:24:21,20,Rxxxx8644xxx,Gyékényes
2022-12-02,15:16:15,5,Nxxxx0583xxx,Szombathely
2022-12-02,15:15:25,5,Nxxxx5488xxx,Szombathely
2022-11-30,16:02:34,10,Nxxxx9821xxx,Budapest
2022-11-30,16:02:17,5,Nxxxx5256xxx,Budapest
2022-11-30,16:01:58,5,Mxxxx9549xxx,Budapest
2022-11-29,22:22:43,20,Vxxxx4468xxx,Budapest
2022-11-29,13:05:00,200,Xxxxx1835xxx,Szombathely
2022-11-29,13:04:32,200,Sxxxx1068xxx,Szombathely
2022-11-29,13:03:57,5,Nxxxx0392xxx,Szombathely
2022-11-29,13:03:16,10,Uxxxx8376xxx,Szombathely
2022-11-29,12:01:52,5,Nxxxx7273xxx,Budapest
2022-11-28,21:13:10,5,Mxxxx2425xxx,Budapest
2022-11-28,17:30:22,5,Txxxx1817xxx,Budapest
2022-11-28,17:29:44,10,Wxxxx3725xxx,Budapest
2022-11-27,18:48:45,200,Xxxxx3003xxx,Vecses
2022-11-27,18:47:53,200,Nxxxx0473xxx,Vecses
2022-11-27,18:47:08,100,Xxxxx1370xxx,Vecses
2022-11-27,18:46:29,100,Xxxxx8773xxx,Vecses
2022-11-27,18:45:38,100,Xxxxx7869xxx,Vecses
2022-11-26,15:21:03,50,Uxxxx7757xxx,Budapest
2022-11-26,15:20:37,50,Uxxxx7117xxx,Budapest
2022-11-26,15:20:09,50,Zxxxx1736xxx,Budapest
2022-11-26,15:19:53,50,Uxxxx4174xxx,Budapest
2022-11-26,15:19:37,50,Uxxxx7757xxx,Budapest
2022-11-26,15:19:19,50,Exxxx5539xxx,Budapest
2022-11-26,15:18:48,20,Uxxxx2466xxx,Budapest
2022-11-26,15:18:31,10,Vxxxx7428xxx,Budapest
2022-11-25,21:42:58,50,Rxxxx7758xxx,Budapest
2022-11-25,21:42:42,50,Rxxxx8935xxx,Budapest
2022-11-25,21:42:28,50,Uxxxx8415xxx,Budapest
2022-11-25,21:42:12,20,Uxxxx6650xxx,Budapest
2022-11-25,21:41:58,10,Vxxxx5983xxx,Budapest
2022-11-25,21:41:37,10,Rxxxx1128xxx,Budapest
2022-11-25,21:40:30,5,Zxxxx0702xxx,Budapest
2022-11-25,21:40:16,5,Uxxxx6329xxx,Budapest
2022-11-25,21:40:03,5,Vxxxx3433xxx,Budapest
2022-11-25,21:17:27,10,Wxxxx4632xxx,Kecskemét
2022-11-22,15:46:21,20,Sxxxx4614xxx,Budapest
2022-11-20,23:06:04,100,Wxxxx1238xxx,Dombóvár
2022-11-20,23:06:04,100,Rxxxx0745xxx,Dombóvár
2022-11-20,23:06:04,100,Exxxx3985xxx,Dombóvár
2022-11-20,23:06:04,100,Wxxxx4855xxx,Dombóvár
2022-11-20,23:06:04,100,Rxxxx0935xxx,Dombóvár
2022-11-20,23:06:04,100,Rxxxx9204xxx,Dombóvár
2022-11-20,23:06:04,100,Rxxxx6611xxx,Dombóvár
2022-11-20,23:06:04,100,Uxxxx1657xxx,Dombóvár
2022-11-20,22:59:59,100,Rxxxx5515xxx,Dombóvár
2022-11-20,22:59:41,100,Wxxxx4855xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx3595xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx2127xxx,Dombóvár
2022-11-20,22:59:41,100,Exxxx3104xxx,Dombóvár
2022-11-20,22:59:41,100,Nxxxx6110xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx8919xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx6563xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx2381xxx,Dombóvár
2022-11-20,22:59:41,100,Wxxxx4855xxx,Dombóvár
2022-11-20,22:59:41,100,Exxxx8499xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx2554xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx5010xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx7835xxx,Dombóvár
2022-11-20,22:59:41,100,Rxxxx7835xxx,Dombóvár
2022-11-19,14:56:58,50,Vxxxx8634xxx,Budapest
2022-11-19,14:56:13,50,Uxxxx1451xxx,Budapest
2022-11-19,14:55:57,20,Rxxxx0062xxx,Budapest
2022-11-19,14:55:31,20,Exxxx1633xxx,Budapest
2022-11-19,14:55:14,20,Uxxxx4957xxx,Budapest
2022-11-19,14:54:51,20,Uxxxx4328xxx,Budapest
2022-11-19,14:54:34,20,Exxxx4047xxx,Budapest
2022-11-19,14:54:16,20,Exxxx0395xxx,Budapest
2022-11-15,17:21:33,5,Yxxxx9306xxx,Budapest
2022-11-15,17:21:33,5,Nxxxx7315xxx,Budapest
2022-11-15,17:21:33,5,Exxxx5422xxx,Budapest
2022-11-15,17:21:33,5,Nxxxx1008xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx5534xxx,Budapest
2022-11-15,17:21:33,5,Exxxx9014xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx6156xxx,Budapest
2022-11-15,17:21:33,5,Nxxxx1070xxx,Budapest
2022-11-15,17:21:33,5,Vxxxx8820xxx,Budapest
2022-11-15,17:21:33,5,Vxxxx6464xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx5080xxx,Budapest
2022-11-15,17:21:33,5,Vxxxx2209xxx,Budapest
2022-11-15,17:21:33,5,Zxxxx5226xxx,Budapest
2022-11-15,17:21:33,5,Zxxxx5302xxx,Budapest
2022-11-15,17:21:33,5,Vxxxx4202xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx5239xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx6958xxx,Budapest
2022-11-15,17:21:33,5,Zxxxx8139xxx,Budapest
2022-11-15,17:21:33,5,Mxxxx4336xxx,Budapest
2022-11-15,17:21:33,5,Vxxxx1617xxx,Budapest
2022-11-15,17:15:09,5,Nxxxx0480xxx,Budapest
2022-11-15,17:15:09,5,Uxxxx3280xxx,Budapest
2022-11-15,17:15:09,5,Nxxxx2355xxx,Budapest
2022-11-15,17:15:09,5,Nxxxx4520xxx,Budapest
2022-11-15,17:15:09,5,Mxxxx7272xxx,Budapest
2022-11-15,17:15:09,5,Exxxx6334xxx,Budapest
2022-11-15,17:15:09,5,Exxxx7504xxx,Budapest
2022-11-15,17:15:09,5,Exxxx7261xxx,Budapest
