Date,Time,Notetype,Maskedserial,Locality
2022-12-02,20:45:15,10,Uxxxx4555xxx,Grindavik
2022-12-02,20:41:05,10,Wxxxx9615xxx,Vik I Myrdal
2022-12-02,20:38:15,5,Zxxxx9069xxx,Selfoss
2022-12-02,20:04:40,20,Rxxxx0820xxx,Reykjavik
2022-12-02,20:02:17,20,Exxxx3907xxx,Reykjavik
2022-12-02,20:00:40,20,Txxxx5952xxx,Reykjavik
2022-11-26,22:03:28,10,Fxxxx7833xxx,Reykjavík
2022-11-21,23:35:54,50,Uxxxx7549xxx,Reykjavik
2022-11-21,23:35:54,50,Zxxxx1154xxx,Reykjavik
2022-11-21,23:35:54,50,Vxxxx8571xxx,Reykjavik
2022-11-21,23:35:54,50,Uxxxx8789xxx,Reykjavik
2022-11-21,23:35:54,20,Exxxx0809xxx,Reykjavik
2022-11-21,23:35:54,20,Mxxxx7934xxx,Reykjavik
2022-11-21,23:35:54,20,Exxxx3029xxx,Reykjavik
2022-11-21,23:35:54,20,Rxxxx6733xxx,Reykjavik
2022-11-21,23:35:54,20,Uxxxx7976xxx,Reykjavik
2022-11-21,23:35:54,20,Mxxxx8491xxx,Reykjavik
2022-11-21,23:35:54,5,Exxxx5446xxx,Reykjavik
2022-11-11,23:40:44,50,Wxxxx6802xxx,Reykholt
2022-11-11,23:40:44,50,Rxxxx4430xxx,Reykholt
2022-11-11,23:40:44,50,Rxxxx6956xxx,Reykholt
2022-11-11,23:40:44,50,Wxxxx8149xxx,Reykholt
2022-11-11,23:40:44,50,Exxxx4179xxx,Reykholt
2022-11-11,23:40:44,20,Rxxxx5398xxx,Reykholt
2022-11-11,23:40:44,20,Xxxxx7444xxx,Reykholt
2022-11-11,23:40:44,20,Rxxxx2256xxx,Reykholt
2022-11-11,23:40:44,20,Rxxxx0119xxx,Reykholt
2022-11-11,23:40:44,20,Vxxxx7644xxx,Reykholt
2022-11-11,23:40:44,10,Yxxxx8692xxx,Reykholt
2022-11-11,23:40:44,10,Exxxx6384xxx,Reykholt
2022-11-11,23:40:44,10,Rxxxx9314xxx,Reykholt
2022-11-11,23:40:44,10,Exxxx3366xxx,Reykholt
2022-11-11,23:40:44,5,Mxxxx5182xxx,Reykholt
