Date,Time,Notetype,Maskedserial,Locality
2022-06-28,12:51:56,50,Sxxxx8476xxx,Shiraz
2022-06-28,12:50:18,50,Zxxxx9952xxx,Shiraz
2022-06-28,12:38:24,100,Xxxxx2372xxx,Shiraz
2022-04-25,19:29:51,100,Uxxxx6467xxx,Teheran
2022-04-25,19:28:18,100,Vxxxx8080xxx,Teheran
2022-04-16,13:18:51,100,Xxxxx3637xxx,Teheran
2022-04-16,13:17:10,100,Sxxxx5350xxx,Teheran
2022-04-16,13:15:51,100,Xxxxx0704xxx,Teheran
2022-04-16,13:14:41,100,Sxxxx0120xxx,Teheran
2022-04-16,13:12:59,100,Xxxxx3650xxx,Teheran
2022-04-16,13:11:33,100,Uxxxx8957xxx,Teheran
2022-04-16,13:10:16,100,Exxxx5621xxx,Teheran
2022-04-11,03:17:39,100,Vxxxx3931xxx,Teheran
2022-04-07,18:07:33,100,Rxxxx2074xxx,Teheran
2022-04-07,18:06:16,100,Sxxxx5543xxx,Teheran
2022-04-07,18:04:28,100,Nxxxx7841xxx,Teheran
2022-04-07,18:03:22,100,Xxxxx0080xxx,Teheran
2022-04-07,18:01:57,100,Xxxxx5833xxx,Teheran
2022-04-07,18:00:40,100,Sxxxx2594xxx,Teheran
2022-04-05,18:34:56,200,Uxxxx0174xxx,Teheran
2022-04-05,18:33:28,200,Uxxxx0174xxx,Teheran
2022-03-31,19:30:37,100,Nxxxx3718xxx,Teheran
2022-03-26,11:26:14,100,Xxxxx2129xxx,Teheran
2022-03-26,11:24:50,200,Xxxxx5795xxx,Teheran
2022-03-26,11:20:54,100,Nxxxx0612xxx,Teheran
2022-03-26,11:19:34,100,Xxxxx8841xxx,Teheran
2022-03-11,22:18:40,500,Uxxxx3919xxx,Tehran
