Date,Time,Notetype,Maskedserial,Locality
2022-10-14,09:39:59,100,Nxxxx6267xxx,Tel-Aviv
2022-10-01,20:12:57,5,Vxxxx2888xxx,Gerusalemme
2022-09-29,19:27:54,10,Wxxxx2314xxx,Gerusalemme
2022-09-29,19:27:54,10,Pxxxx6025xxx,Gerusalemme
2022-09-29,19:25:43,5,Mxxxx0254xxx,Gerusalemme
2022-07-27,22:13:08,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:12:52,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:12:36,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:12:19,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:12:00,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:11:45,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:11:25,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:11:09,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:10:47,5,Nxxxx7790xxx,Tel Aviv
2022-07-27,22:09:55,5,Uxxxx0738xxx,Tel Aviv
2022-07-27,22:09:36,5,Wxxxx1103xxx,Tel Aviv
2022-07-27,22:09:19,5,Yxxxx4718xxx,Tel Aviv
2022-07-27,22:09:02,5,Uxxxx8459xxx,Tel Aviv
2022-07-27,22:08:40,5,Mxxxx9597xxx,Tel Aviv
2022-07-27,22:08:22,5,Mxxxx9197xxx,Tel Aviv
2022-07-27,22:08:01,5,Yxxxx2732xxx,Tel Aviv
2022-07-27,22:07:43,5,Vxxxx2902xxx,Tel Aviv
2022-07-27,22:07:24,5,Wxxxx0349xxx,Tel Aviv
2022-07-27,22:07:02,5,Uxxxx2120xxx,Tel Aviv
2022-07-08,18:42:57,20,Vxxxx5631xxx,בארותיים
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-14,13:49:11,20,Zxxxx7087xxx,Afula
2022-03-01,11:31:54,100,Rxxxx3979xxx,Tel Aviv
2022-03-01,11:31:03,10,Wxxxx7890xxx,Tel Aviv
2022-03-01,11:31:03,10,Vxxxx3712xxx,Tel Aviv
2022-03-01,11:31:03,10,Vxxxx8121xxx,Tel Aviv
2022-03-01,11:28:34,10,Vxxxx1083xxx,Tel Aviv
2022-03-01,11:26:08,10,Vxxxx5155xxx,Tel Aviv
2022-03-01,11:25:31,10,Wxxxx8376xxx,Tel Aviv
2022-03-01,11:24:32,10,Uxxxx7441xxx,Tel Aviv
2022-03-01,11:23:02,10,Uxxxx2038xxx,Tel Aviv
2022-03-01,11:22:00,10,Txxxx5831xxx,Tel Aviv
2022-03-01,11:18:00,10,Exxxx4523xxx,Tel Aviv
