Date,Time,Notetype,Maskedserial,Locality
2022-11-01,17:46:57,5,Nxxxx6292xxx,Lipjan
2022-11-01,17:46:57,10,Txxxx2229xxx,Lipjan
2022-11-01,17:46:57,10,Wxxxx7345xxx,Lipjan
2022-11-01,17:44:24,20,Xxxxx7083xxx,Gračanica
2022-11-01,17:43:41,5,Zxxxx0486xxx,Prishtina
2022-11-01,17:43:41,5,Nxxxx8258xxx,Prishtina
2022-11-01,17:43:41,10,Vxxxx7649xxx,Prishtina
2022-11-01,17:43:41,10,Wxxxx4132xxx,Prishtina
2022-11-01,17:43:41,10,Txxxx7800xxx,Prishtina
2022-11-01,17:43:40,10,Yxxxx5429xxx,Prishtina
2022-11-01,17:43:40,20,Exxxx3407xxx,Prishtina
2022-08-21,16:20:12,5,Nxxxx5125xxx,Prishtina
2022-08-21,15:17:01,20,Uxxxx5911xxx,Prishtina
2022-08-21,15:15:58,20,Xxxxx9815xxx,Prishtina
2022-08-21,15:14:50,5,Mxxxx5711xxx,Prishtina
2022-08-21,15:13:58,10,Fxxxx8109xxx,Prishtina
2022-08-21,15:12:41,5,Vxxxx4299xxx,Prishtina
2022-08-20,18:37:37,5,Vxxxx3028xxx,Prishtina
2022-08-20,15:15:59,10,Wxxxx9802xxx,Prishtina
2022-08-20,15:15:10,5,Nxxxx8259xxx,Prishtina
2022-08-20,15:14:22,5,Mxxxx2107xxx,Prishtina
2022-08-19,18:03:46,10,Uxxxx8004xxx,Prishtina
2022-08-19,18:02:56,5,Nxxxx1947xxx,Prishtina
2022-08-19,18:01:45,5,Mxxxx7214xxx,Prishtina
2022-08-19,18:01:37,5,Nxxxx7378xxx,Prishtina
2022-08-19,13:17:54,20,Exxxx7744xxx,Prishtina
2022-08-19,13:17:21,5,Sxxxx8248xxx,Prishtina
2022-08-19,09:29:30,5,Nxxxx6238xxx,Prishtina
2022-08-19,09:27:14,5,Nxxxx2081xxx,Prishtina
2022-08-19,09:26:22,5,Nxxxx6357xxx,Prishtina
2022-08-01,02:05:12,5,Mxxxx1880xxx,Prishtina
2022-07-31,17:21:51,10,Fxxxx0666xxx,Prishtina
2022-07-30,17:52:10,5,Nxxxx5141xxx,Prishtina
2022-07-30,13:40:00,20,Exxxx8209xxx,Prishtina
2022-07-30,13:38:36,10,Yxxxx9991xxx,Mitrovicë
2022-07-30,13:38:36,5,Yxxxx6571xxx,Mitrovicë
2022-07-29,18:20:33,20,Exxxx3018xxx,Mitrovicë
2022-07-29,18:20:33,20,Sxxxx9663xxx,Mitrovicë
2022-07-15,00:16:26,5,Nxxxx8089xxx,Prizren
2022-07-15,00:16:26,5,Nxxxx4840xxx,Prizren
2022-07-15,00:16:26,5,Nxxxx2891xxx,Prizren
2022-07-15,00:16:26,5,Vxxxx8884xxx,Prizren
2022-07-15,00:16:26,10,Wxxxx8867xxx,Prizren
2022-07-15,00:16:26,10,Pxxxx7139xxx,Prizren
2022-07-15,00:16:26,10,Fxxxx8884xxx,Prizren
2022-07-15,00:16:26,20,Uxxxx4419xxx,Prizren
2022-07-15,00:16:26,20,Exxxx5940xxx,Prizren
2022-07-13,23:36:58,5,Mxxxx7053xxx,Prizren
2022-07-13,23:36:58,5,Vxxxx2815xxx,Prizren
2022-07-13,23:36:58,10,Yxxxx5622xxx,Prizren
2022-07-13,00:05:56,5,Vxxxx7842xxx,Gazivode
2022-07-12,23:58:31,5,Wxxxx1328xxx,Pejë
2022-07-12,23:58:31,5,Nxxxx8041xxx,Pejë
2022-07-12,23:58:31,10,Uxxxx6901xxx,Pejë
2022-07-12,23:58:31,10,Yxxxx2152xxx,Pejë
2022-07-02,15:45:53,20,Uxxxx8451xxx,Fushë Kosovë
2022-06-21,13:03:09,20,Vxxxx4447xxx,Prishtina
2022-06-09,21:38:48,5,Nxxxx5128xxx,Pristina
2022-06-09,21:37:53,5,Zxxxx1692xxx,Pristina
2022-06-05,22:01:09,20,Uxxxx4321xxx,Prishtina
2022-06-05,21:59:54,10,Wxxxx5276xxx,Prishtina
2022-06-05,21:58:17,5,Zxxxx9284xxx,Prishtina
2022-05-11,10:10:32,5,Nxxxx1207xxx,Pristina
2022-05-07,14:06:17,10,Wxxxx8693xxx,Pristina
2022-03-19,18:01:36,20,Sxxxx0095xxx,Prizren
2022-03-19,18:00:54,20,Uxxxx7217xxx,Pristina
2022-03-19,17:57:37,10,Pxxxx4585xxx,Pristina
2022-03-19,17:56:44,5,Nxxxx6227xxx,Pristina
2022-02-25,14:39:46,10,Pxxxx5781xxx,Prizren
2022-02-25,14:39:46,50,Wxxxx9293xxx,Prizren
2022-02-25,14:39:46,20,Sxxxx0944xxx,Prizren
2022-02-25,14:39:46,5,Wxxxx0341xxx,Prizren
2022-02-25,14:39:46,100,Exxxx7257xxx,Prizren
2022-02-25,14:39:46,10,Uxxxx1801xxx,Prizren
