Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:15:44,20,Exxxx1482xxx,Liepāja
2022-12-04,11:15:44,20,Rxxxx3867xxx,Liepāja
2022-12-03,21:31:47,10,Uxxxx1508xxx,Berģi
2022-12-03,21:30:16,10,Wxxxx2030xxx,Rīga
2022-12-03,21:29:03,10,Pxxxx9669xxx,Riga
2022-12-03,20:55:00,50,Pxxxx7972xxx,Daugavpils
2022-12-03,20:53:08,50,Pxxxx6766xxx,Daugavpils
2022-12-03,20:50:58,50,Pxxxx0032xxx,Daugavpils
2022-12-03,20:48:27,50,Pxxxx5744xxx,Daugavpils
2022-12-03,20:44:26,20,Exxxx1495xxx,Daugavpils
2022-12-03,20:43:37,20,Exxxx1477xxx,Daugavpils
2022-12-03,20:36:31,10,Wxxxx3291xxx,Daugavpils
2022-12-03,20:33:54,10,Uxxxx8618xxx,Daugavpils
2022-12-03,20:29:28,10,Exxxx6652xxx,Daugavpils
2022-12-03,20:03:52,20,Uxxxx9046xxx,Riga
2022-12-03,19:23:09,50,Uxxxx9381xxx,Jelgava
2022-12-03,19:22:57,50,Uxxxx7920xxx,Jelgava
2022-12-03,19:22:44,50,Exxxx7740xxx,Jelgava
2022-12-03,19:22:31,50,Pxxxx6836xxx,Jelgava
2022-12-03,19:11:01,5,Nxxxx5843xxx,Riga
2022-12-03,19:05:49,5,Sxxxx8401xxx,Riga
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:21:58,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:19,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:18,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:14:18,20,Sxxxx6643xxx,Aizkraukle
2022-12-03,17:10:04,10,Nxxxx4940xxx,Aizkraukle
2022-12-03,17:07:00,5,Vxxxx1241xxx,Aizkraukle
2022-12-03,11:25:56,5,Yxxxx5285xxx,Cēsis
2022-12-03,11:08:59,10,Fxxxx6851xxx,Liepāja
2022-12-03,10:18:57,5,Exxxx1038xxx,Riga
2022-12-03,08:17:25,5,Vxxxx2107xxx,Rīga
2022-12-03,08:17:25,10,Vxxxx6630xxx,Rīga
2022-12-03,08:17:25,50,Vxxxx9527xxx,Rīga
2022-12-03,08:17:25,50,Sxxxx5505xxx,Rīga
2022-12-03,06:32:30,20,Uxxxx3097xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx2567xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx9019xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx4419xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx3221xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx4525xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx7929xxx,Rīga
2022-12-03,06:32:30,50,Uxxxx6730xxx,Rīga
2022-12-02,21:41:31,50,Uxxxx3213xxx,Riga
2022-12-02,20:52:05,5,Yxxxx7859xxx,Riga
2022-12-02,19:42:36,20,Mxxxx6410xxx,Rīga
2022-12-02,19:41:49,20,Sxxxx9117xxx,Rīga
2022-12-02,19:40:59,20,Rxxxx7535xxx,Rīga
2022-12-02,19:40:07,20,Sxxxx5177xxx,Rīga
2022-12-02,19:39:14,20,Uxxxx8770xxx,Rīga
2022-12-02,19:38:17,20,Exxxx6309xxx,Rīga
2022-12-02,19:37:21,20,Exxxx7319xxx,Rīga
2022-12-02,19:36:29,20,Sxxxx5833xxx,Rīga
2022-12-02,19:35:26,20,Sxxxx1167xxx,Rīga
2022-12-02,19:34:43,20,Uxxxx1970xxx,Rīga
2022-12-02,19:33:54,20,Sxxxx9824xxx,Rīga
2022-12-02,19:32:26,20,Exxxx2615xxx,Rīga
2022-12-02,14:25:39,5,Sxxxx7324xxx,Jelgava
2022-12-02,14:25:25,5,Uxxxx3457xxx,Jelgava
2022-12-02,14:25:08,10,Vxxxx2996xxx,Jelgava
2022-12-02,14:24:43,10,Pxxxx9513xxx,Jelgava
2022-12-02,14:24:26,20,Rxxxx4767xxx,Jelgava
2022-12-02,12:30:19,10,Vxxxx1257xxx,Rīga
2022-12-02,12:30:19,20,Exxxx7801xxx,Rīga
2022-12-02,12:30:19,20,Exxxx4678xxx,Rīga
2022-12-02,12:30:19,50,Exxxx4053xxx,Rīga
2022-12-02,11:47:05,10,Wxxxx0448xxx,Augšlīgatne
2022-12-02,11:47:04,20,Exxxx6510xxx,Riga
2022-12-02,11:47:04,20,Sxxxx6423xxx,Riga
2022-12-02,11:47:04,10,Wxxxx1095xxx,Riga
2022-12-02,11:46:15,5,Vxxxx2568xxx,Augšlīgatne
2022-12-02,09:23:48,5,Yxxxx9469xxx,Rīga
2022-12-02,07:09:58,10,Vxxxx6726xxx,Dobele
2022-12-01,20:31:55,5,Vxxxx6070xxx,Riga
2022-12-01,18:02:13,5,Yxxxx2618xxx,Talsi
2022-12-01,18:02:13,10,Wxxxx2677xxx,Talsi
2022-12-01,18:02:13,20,Uxxxx2037xxx,Talsi
2022-12-01,18:02:13,50,Mxxxx3666xxx,Talsi
2022-12-01,18:02:13,50,Uxxxx8852xxx,Talsi
2022-12-01,18:02:13,50,Uxxxx8702xxx,Talsi
2022-12-01,18:02:13,50,Pxxxx1259xxx,Talsi
2022-12-01,18:02:13,50,Pxxxx1284xxx,Talsi
2022-12-01,17:45:40,10,Wxxxx3891xxx,Daugavpils
2022-12-01,17:44:20,5,Vxxxx8338xxx,Daugavpils
2022-12-01,17:28:16,50,Uxxxx2688xxx,Daugavpils
2022-12-01,17:27:03,20,Uxxxx1157xxx,Daugavpils
2022-12-01,17:24:03,20,Sxxxx0769xxx,Daugavpils
2022-12-01,17:22:02,20,Sxxxx9829xxx,Daugavpils
2022-12-01,17:20:42,20,Sxxxx3479xxx,Daugavpils
2022-12-01,17:19:36,20,Exxxx2610xxx,Daugavpils
2022-12-01,17:00:31,20,Exxxx1429xxx,Rīga
2022-12-01,16:22:22,10,Sxxxx3377xxx,Riga
2022-12-01,16:22:22,10,Rxxxx9462xxx,Riga
2022-12-01,16:22:22,5,Yxxxx0445xxx,Riga
2022-12-01,16:22:22,5,Zxxxx6950xxx,Riga
2022-12-01,12:03:51,20,Mxxxx9344xxx,Liepāja
2022-12-01,12:03:51,10,Exxxx5550xxx,Liepāja
2022-12-01,12:03:51,5,Vxxxx4888xxx,Liepāja
2022-12-01,12:03:51,10,Uxxxx2239xxx,Liepāja
2022-12-01,10:55:23,10,Txxxx6205xxx,Rīga
2022-12-01,10:54:14,5,Mxxxx3993xxx,Rīga
2022-12-01,10:06:05,50,Xxxxx2905xxx,Jelgava
2022-12-01,10:05:52,50,Pxxxx1821xxx,Jelgava
2022-12-01,10:05:24,50,Pxxxx2667xxx,Jelgava
2022-12-01,10:05:10,50,Xxxxx0001xxx,Jelgava
2022-12-01,10:04:57,50,Vxxxx7151xxx,Jelgava
2022-12-01,10:04:43,50,Xxxxx4617xxx,Jelgava
2022-12-01,10:04:29,50,Pxxxx3916xxx,Jelgava
2022-12-01,10:04:15,50,Xxxxx2073xxx,Jelgava
2022-12-01,10:04:01,50,Pxxxx1316xxx,Jelgava
2022-12-01,10:03:45,50,Pxxxx1136xxx,Jelgava
2022-12-01,10:03:21,50,Vxxxx8048xxx,Jelgava
2022-12-01,10:03:08,50,Xxxxx3937xxx,Jelgava
2022-12-01,09:36:59,10,Wxxxx9052xxx,Rīga
2022-12-01,09:36:59,5,Sxxxx1568xxx,Rīga
2022-12-01,09:33:06,20,Xxxxx0251xxx,Rīga
2022-12-01,09:33:06,10,Wxxxx4121xxx,Rīga
2022-12-01,09:33:06,10,Pxxxx3654xxx,Rīga
2022-12-01,09:33:06,5,Mxxxx4098xxx,Rīga
2022-12-01,09:30:24,5,Vxxxx2794xxx,Rīga
2022-11-30,21:56:29,5,Mxxxx3285xxx,Riga
2022-11-30,21:56:29,5,Yxxxx6077xxx,Riga
2022-11-30,21:15:06,50,Uxxxx3903xxx,Ventspils
2022-11-30,21:15:06,50,Rxxxx1797xxx,Ventspils
2022-11-30,21:15:06,50,Uxxxx5012xxx,Ventspils
2022-11-30,21:13:24,50,Wxxxx2846xxx,Ventspils
2022-11-30,21:13:24,50,Uxxxx4127xxx,Ventspils
2022-11-30,21:13:24,50,Exxxx3619xxx,Ventspils
2022-11-30,21:13:24,50,Uxxxx0080xxx,Ventspils
2022-11-30,21:13:24,50,Pxxxx3696xxx,Ventspils
2022-11-30,21:13:24,50,Exxxx9725xxx,Ventspils
2022-11-30,21:13:24,50,Wxxxx9947xxx,Ventspils
2022-11-30,21:13:24,50,Pxxxx9958xxx,Ventspils
2022-11-30,21:13:24,50,Exxxx8521xxx,Ventspils
2022-11-30,21:13:24,50,Sxxxx0256xxx,Ventspils
2022-11-30,21:13:24,50,Mxxxx3190xxx,Ventspils
2022-11-30,21:13:24,50,Sxxxx4277xxx,Ventspils
2022-11-30,21:13:24,50,Rxxxx0203xxx,Ventspils
2022-11-30,21:13:24,20,Sxxxx4169xxx,Ventspils
2022-11-30,21:13:24,20,Exxxx6670xxx,Ventspils
2022-11-30,21:13:24,20,Sxxxx3886xxx,Ventspils
2022-11-30,21:13:24,20,Uxxxx7060xxx,Ventspils
2022-11-30,21:13:24,20,Rxxxx1893xxx,Ventspils
2022-11-30,21:13:24,20,Exxxx5283xxx,Ventspils
2022-11-30,21:13:24,20,Rxxxx5329xxx,Ventspils
2022-11-30,21:13:24,20,Exxxx9361xxx,Ventspils
2022-11-30,21:13:24,10,Wxxxx9905xxx,Ventspils
2022-11-30,21:13:24,10,Wxxxx6803xxx,Ventspils
2022-11-30,21:13:24,10,Wxxxx0823xxx,Ventspils
2022-11-30,21:13:24,10,Xxxxx9037xxx,Ventspils
2022-11-30,19:09:12,10,Exxxx6002xxx,Rīga
2022-11-30,19:09:12,5,Mxxxx8521xxx,Rīga
2022-11-30,19:07:44,5,Mxxxx3848xxx,Rīga
2022-11-30,17:23:24,50,Uxxxx9078xxx,Talsi
2022-11-30,17:23:24,50,Vxxxx1325xxx,Talsi
2022-11-30,17:23:24,50,Pxxxx5510xxx,Talsi
2022-11-30,17:23:24,50,Exxxx7216xxx,Talsi
2022-11-30,17:23:24,50,Uxxxx8019xxx,Talsi
2022-11-30,17:23:24,50,Xxxxx0752xxx,Talsi
2022-11-30,15:45:45,20,Rxxxx5130xxx,Rīga
2022-11-30,15:45:45,5,Sxxxx0910xxx,Rīga
2022-11-30,15:44:06,5,Yxxxx2247xxx,Rīga
2022-11-30,11:54:24,20,Sxxxx5699xxx,Ulbroka
2022-11-30,11:41:57,5,Vxxxx1734xxx,Ulbroka
2022-11-30,09:07:09,20,Sxxxx2159xxx,Liepāja
2022-11-30,09:07:09,5,Vxxxx2240xxx,Liepāja
2022-11-30,07:55:00,10,Uxxxx9270xxx,Liepāja
2022-11-29,20:26:10,5,Vxxxx4388xxx,Riga
2022-11-29,19:08:30,50,Zxxxx2050xxx,Talsi
2022-11-29,15:10:15,20,Sxxxx4268xxx,Rīga
2022-11-29,15:10:15,20,Exxxx7590xxx,Rīga
2022-11-29,11:06:10,10,Wxxxx1827xxx,Dobele
2022-11-29,10:00:07,5,Uxxxx2176xxx,Dobele
2022-11-29,06:24:14,50,Rxxxx1905xxx,Dobele
2022-11-29,06:23:42,50,Exxxx2427xxx,Dobele
2022-11-29,06:23:18,50,Sxxxx0106xxx,Dobele
