Date,Time,Notetype,Maskedserial,Locality
2022-12-02,11:20:18,50,Uxxxx0793xxx,Vaduz
2022-12-02,11:19:50,50,Uxxxx2264xxx,Vaduz
2022-12-02,11:19:10,20,Uxxxx0147xxx,Vaduz
2022-12-02,11:18:26,5,Vxxxx6635xxx,Vaduz
2022-11-28,17:08:05,100,Rxxxx7101xxx,Bendern
2022-11-12,18:48:01,10,Fxxxx7354xxx,Vaduz
2022-11-12,18:48:01,10,Uxxxx5995xxx,Vaduz
2022-11-12,18:48:01,10,Vxxxx9540xxx,Vaduz
2022-11-12,18:48:01,10,Xxxxx9933xxx,Vaduz
2022-11-12,18:48:01,10,Wxxxx6590xxx,Vaduz
2022-11-12,18:48:01,10,Pxxxx7694xxx,Vaduz
2022-11-12,18:48:01,10,Wxxxx7956xxx,Vaduz
2022-11-12,18:48:01,10,Vxxxx1532xxx,Vaduz
2022-11-12,18:48:01,10,Pxxxx1920xxx,Vaduz
2022-11-12,18:48:01,10,Xxxxx7753xxx,Vaduz
2022-11-12,18:44:10,5,Sxxxx3072xxx,Vaduz
2022-11-12,18:44:10,5,Wxxxx1249xxx,Vaduz
2022-11-12,18:44:10,5,Mxxxx1900xxx,Vaduz
2022-11-12,18:44:10,5,Yxxxx2392xxx,Vaduz
2022-11-12,18:44:10,5,Txxxx8587xxx,Vaduz
2022-11-12,18:44:10,5,Vxxxx7553xxx,Vaduz
2022-11-12,18:44:10,5,Vxxxx2596xxx,Vaduz
2022-11-12,18:44:10,5,Yxxxx7953xxx,Vaduz
2022-11-12,18:44:10,5,Uxxxx9104xxx,Vaduz
2022-11-12,18:44:10,5,Wxxxx4919xxx,Vaduz
2022-11-12,18:44:10,5,Nxxxx1666xxx,Vaduz
2022-11-12,18:44:10,5,Zxxxx9516xxx,Vaduz
2022-11-12,18:44:10,5,Vxxxx2887xxx,Vaduz
2022-11-12,18:44:10,5,Uxxxx3035xxx,Vaduz
2022-11-12,18:44:10,5,Wxxxx5351xxx,Vaduz
