Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:11:44,10,Pxxxx7450xxx,Pakruojis
2022-12-04,11:05:08,50,Pxxxx0596xxx,Pakruojis
2022-12-04,11:05:08,50,Rxxxx8897xxx,Pakruojis
2022-12-04,11:05:08,50,Rxxxx2319xxx,Pakruojis
2022-12-04,11:05:08,50,Uxxxx8114xxx,Pakruojis
2022-12-04,11:01:15,20,Uxxxx8655xxx,Pakruojis
2022-12-04,11:01:15,20,Exxxx4568xxx,Pakruojis
2022-12-04,11:01:15,20,Sxxxx1130xxx,Pakruojis
2022-12-04,11:01:15,20,Exxxx6629xxx,Pakruojis
2022-12-04,11:01:15,20,Sxxxx0685xxx,Pakruojis
2022-12-04,11:01:15,20,Uxxxx0677xxx,Pakruojis
2022-12-04,11:01:15,20,Uxxxx1199xxx,Pakruojis
2022-12-04,11:01:15,20,Sxxxx0695xxx,Pakruojis
2022-12-04,10:55:43,10,Pxxxx4499xxx,Pakruojis
2022-12-04,10:55:43,10,Pxxxx3212xxx,Pakruojis
2022-12-04,10:55:43,10,Exxxx4629xxx,Pakruojis
2022-12-04,10:55:43,10,Exxxx7517xxx,Pakruojis
2022-12-04,10:55:43,10,Uxxxx3843xxx,Pakruojis
2022-12-04,10:55:43,10,Uxxxx6374xxx,Pakruojis
2022-12-04,10:55:43,10,Pxxxx6393xxx,Pakruojis
2022-12-04,10:55:43,10,Pxxxx5430xxx,Pakruojis
2022-12-04,10:55:43,10,Pxxxx1682xxx,Pakruojis
2022-12-04,10:55:43,10,Wxxxx7623xxx,Pakruojis
2022-12-04,10:55:43,10,Sxxxx3434xxx,Pakruojis
2022-12-04,10:55:43,10,Uxxxx4827xxx,Pakruojis
2022-12-04,10:47:32,5,Sxxxx0489xxx,Pakruojis
2022-12-04,10:47:32,5,Vxxxx5281xxx,Pakruojis
2022-12-04,10:47:32,5,Vxxxx4296xxx,Pakruojis
2022-12-04,10:47:32,5,Mxxxx9313xxx,Pakruojis
2022-12-04,10:47:32,5,Uxxxx2460xxx,Pakruojis
2022-12-04,10:47:32,5,Vxxxx1538xxx,Pakruojis
2022-12-04,10:41:39,5,Nxxxx1944xxx,Pakruojis
2022-12-04,10:40:53,5,Yxxxx9019xxx,Pakruojis
2022-12-04,10:39:43,10,Pxxxx2699xxx,Pakruojis
2022-12-04,10:39:43,5,Vxxxx2461xxx,Pakruojis
2022-12-04,07:30:05,10,Vxxxx3963xxx,Šiauliai
2022-12-04,07:29:18,10,Wxxxx3865xxx,Šiauliai
2022-12-04,07:28:48,10,Pxxxx3411xxx,Šiauliai
2022-12-04,07:28:20,20,Uxxxx2753xxx,Šiauliai
2022-12-04,07:27:48,5,Vxxxx3492xxx,Šiauliai
2022-12-04,07:27:24,20,Sxxxx6829xxx,Šiauliai
2022-12-04,07:27:00,20,Rxxxx6515xxx,Šiauliai
2022-12-03,21:26:25,50,Uxxxx6986xxx,Šilagalys
2022-12-03,21:25:03,5,Mxxxx2973xxx,Karmėlava
2022-12-03,20:49:45,5,Vxxxx3944xxx,Alytus
