Date,Time,Notetype,Maskedserial,Locality
2022-03-28,16:39:22,5,Nxxxx3759xxx,Kela
2022-03-18,15:58:19,5,Wxxxx2887xxx,Malé
2022-03-18,15:58:19,5,Nxxxx2945xxx,Malé
2022-03-18,15:58:19,5,Nxxxx4768xxx,Malé
2022-03-18,15:58:19,5,Yxxxx1211xxx,Malé
2022-03-18,15:58:19,5,Uxxxx7325xxx,Malé
2022-03-18,15:58:19,5,Vxxxx4739xxx,Malé
2022-03-18,15:58:19,5,Nxxxx8930xxx,Malé
2022-03-18,15:58:19,5,Wxxxx2628xxx,Malé
2022-03-18,15:53:25,20,Zxxxx1107xxx,Malé
2022-03-18,15:53:24,20,Fxxxx6744xxx,Malé
2022-03-18,15:53:24,20,Exxxx4388xxx,Malé
