Date,Time,Notetype,Maskedserial,Locality
2022-12-04,08:31:30,5,Vxxxx6356xxx,Xewkija
2022-12-03,22:54:05,10,Yxxxx2882xxx,Marsa
2022-12-03,22:54:05,10,Fxxxx6473xxx,Marsa
2022-12-03,22:54:05,10,Yxxxx0134xxx,Marsa
2022-12-03,22:54:05,10,Exxxx3495xxx,Marsa
2022-12-03,22:54:05,10,Wxxxx3463xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx5440xxx,Marsa
2022-12-03,22:51:22,10,Wxxxx3214xxx,Marsa
2022-12-03,22:51:22,10,Yxxxx7363xxx,Marsa
2022-12-03,22:51:22,10,Exxxx1176xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx2748xxx,Marsa
2022-12-03,22:51:22,10,Pxxxx4913xxx,Marsa
2022-12-03,22:51:22,10,Vxxxx9182xxx,Marsa
2022-12-03,22:51:22,10,Exxxx6101xxx,Marsa
2022-12-03,22:51:22,10,Uxxxx8863xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx2895xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx6862xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx1786xxx,Marsa
2022-12-03,22:51:22,10,Pxxxx9779xxx,Marsa
2022-12-03,22:51:22,10,Wxxxx3303xxx,Marsa
2022-12-03,22:51:22,10,Yxxxx4652xxx,Marsa
2022-12-03,22:51:22,10,Yxxxx6603xxx,Marsa
2022-12-03,22:51:22,10,Yxxxx2113xxx,Marsa
2022-12-03,22:51:22,10,Exxxx4904xxx,Marsa
2022-12-03,22:51:22,10,Wxxxx4419xxx,Marsa
2022-12-03,22:51:22,10,Wxxxx4134xxx,Marsa
2022-12-03,22:51:22,10,Pxxxx4910xxx,Marsa
2022-12-03,22:51:22,10,Fxxxx7317xxx,Marsa
2022-12-03,22:51:22,10,Sxxxx8763xxx,Marsa
2022-12-03,22:51:22,10,Yxxxx6844xxx,Marsa
2022-12-03,22:51:22,10,Exxxx0982xxx,Marsa
2022-12-03,22:26:19,10,Wxxxx1231xxx,Marsa
2022-12-03,22:26:19,10,Rxxxx9122xxx,Marsa
2022-12-03,22:26:19,10,Rxxxx6882xxx,Marsa
2022-12-03,22:26:19,10,Sxxxx5381xxx,Marsa
2022-12-03,22:26:19,10,Nxxxx5820xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx9427xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx1737xxx,Marsa
2022-12-03,22:26:19,10,Nxxxx1206xxx,Marsa
2022-12-03,22:26:19,10,Vxxxx3198xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx5443xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx1260xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx5804xxx,Marsa
2022-12-03,22:26:19,10,Wxxxx1970xxx,Marsa
2022-12-03,22:26:19,10,Txxxx7104xxx,Marsa
2022-12-03,22:26:19,10,Pxxxx4994xxx,Marsa
2022-12-03,22:26:19,10,Uxxxx7471xxx,Marsa
2022-12-03,22:26:19,10,Uxxxx3331xxx,Marsa
2022-12-03,22:26:19,10,Vxxxx7246xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx7091xxx,Marsa
2022-12-03,22:26:19,10,Fxxxx5400xxx,Marsa
2022-12-03,22:26:19,10,Wxxxx5517xxx,Marsa
2022-12-03,22:26:19,10,Uxxxx8044xxx,Marsa
2022-12-03,22:26:19,10,Yxxxx2550xxx,Marsa
2022-12-03,22:26:19,10,Wxxxx6005xxx,Marsa
2022-12-03,22:26:19,10,Yxxxx3128xxx,Marsa
2022-12-03,21:25:16,10,Wxxxx6145xxx,Marsa
2022-12-03,21:25:16,10,Fxxxx8853xxx,Marsa
2022-12-03,21:04:58,10,Uxxxx6069xxx,Is-Swieqi
2022-12-03,21:04:58,5,Vxxxx5360xxx,Is-Swieqi
2022-12-03,18:51:28,5,Uxxxx4592xxx,Hamrun
2022-12-03,18:29:19,10,Fxxxx9332xxx,Marsa
2022-12-03,18:28:25,10,Uxxxx8026xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx5264xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx3468xxx,Marsa
2022-12-03,18:28:25,10,Pxxxx2174xxx,Marsa
2022-12-03,18:28:25,10,Pxxxx0225xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx3421xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx7206xxx,Marsa
2022-12-03,18:28:25,10,Pxxxx3259xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx4198xxx,Marsa
2022-12-03,18:28:25,10,Yxxxx5444xxx,Marsa
2022-12-03,18:28:25,10,Uxxxx2343xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx4068xxx,Marsa
2022-12-03,18:28:25,10,Nxxxx3263xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx4541xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx6448xxx,Marsa
2022-12-03,18:28:25,10,Uxxxx2929xxx,Marsa
2022-12-03,18:28:25,10,Pxxxx4969xxx,Marsa
2022-12-03,18:28:25,10,Vxxxx9270xxx,Marsa
2022-12-03,18:28:25,10,Exxxx2173xxx,Marsa
2022-12-03,18:28:25,10,Pxxxx4903xxx,Marsa
2022-12-03,18:28:25,10,Wxxxx8916xxx,Marsa
2022-12-03,18:28:25,10,Fxxxx6680xxx,Marsa
2022-12-03,18:28:25,10,Uxxxx8024xxx,Marsa
2022-12-03,18:28:25,10,Vxxxx1233xxx,Marsa
2022-12-03,18:28:25,10,Xxxxx9208xxx,Marsa
2022-12-03,18:20:48,5,Yxxxx5511xxx,Marsa
2022-12-03,18:17:09,50,Sxxxx3985xxx,Marsa
2022-12-03,18:17:09,50,Exxxx2331xxx,Marsa
2022-12-03,18:17:09,50,Sxxxx9508xxx,Marsa
2022-12-03,18:17:09,50,Wxxxx4473xxx,Marsa
2022-12-03,18:17:09,50,Sxxxx7888xxx,Marsa
2022-12-03,18:17:09,50,Uxxxx8636xxx,Marsa
2022-12-03,18:17:09,50,Wxxxx0648xxx,Marsa
2022-12-03,18:17:09,50,Wxxxx3018xxx,Marsa
2022-12-03,18:17:09,50,Wxxxx4412xxx,Marsa
2022-12-03,18:17:09,50,Uxxxx4958xxx,Marsa
2022-12-03,18:17:09,50,Vxxxx9081xxx,Marsa
2022-12-03,18:17:09,50,Rxxxx4340xxx,Marsa
2022-12-03,18:17:09,50,Pxxxx0794xxx,Marsa
