Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:18:22,5,Txxxx9106xxx,Zandvoort
2022-12-04,11:16:40,5,Wxxxx2792xxx,Zandvoort
2022-12-04,11:15:47,5,Wxxxx3751xxx,Zandvoort
2022-12-04,11:15:38,10,Exxxx3732xxx,Apeldoorn
2022-12-04,11:14:54,5,Sxxxx3680xxx,Apeldoorn
2022-12-04,11:14:44,5,Mxxxx0265xxx,Zandvoort
2022-12-04,11:14:22,5,Uxxxx5891xxx,Apeldoorn
2022-12-04,11:13:40,5,Vxxxx1567xxx,Zandvoort
2022-12-04,11:08:57,5,Zxxxx5939xxx,Arnhem
2022-12-04,11:08:32,5,Uxxxx7252xxx,Arnhem
2022-12-04,11:07:54,5,Yxxxx7344xxx,Arnhem
2022-12-04,10:54:25,50,Pxxxx9754xxx,Oosterwolde
2022-12-04,10:43:30,5,Mxxxx0995xxx,Enkhuizen
2022-12-04,10:42:09,50,Uxxxx4554xxx,Groningen
2022-12-04,10:38:50,20,Uxxxx4471xxx,Rotterdam
2022-12-04,10:31:21,50,Zxxxx4649xxx,Groningen
2022-12-04,10:28:03,5,Mxxxx1828xxx,Arnhem
2022-12-04,10:27:02,5,Nxxxx9440xxx,Arnhem
2022-12-04,10:26:31,5,Sxxxx9227xxx,Arnhem
2022-12-04,10:25:57,10,Wxxxx6150xxx,Arnhem
2022-12-04,10:25:10,5,Zxxxx7943xxx,Arnhem
2022-12-04,10:24:45,5,Wxxxx3038xxx,Arnhem
2022-12-04,10:24:13,5,Nxxxx1139xxx,Arnhem
2022-12-04,10:23:43,5,Zxxxx4719xxx,Arnhem
2022-12-04,10:20:52,200,Uxxxx1695xxx,Norg
2022-12-04,10:20:28,50,Vxxxx1652xxx,Norg
2022-12-04,10:20:28,50,Vxxxx1652xxx,Norg
2022-12-04,10:19:34,20,Rxxxx1216xxx,Norg
2022-12-04,10:16:41,20,Uxxxx7918xxx,Steenbergen
2022-12-04,10:16:41,20,Uxxxx7161xxx,Steenbergen
2022-12-04,10:16:02,20,Uxxxx5346xxx,Steenbergen
2022-12-04,10:16:02,20,Sxxxx9754xxx,Steenbergen
2022-12-04,10:16:02,20,Sxxxx5643xxx,Steenbergen
2022-12-04,10:16:02,20,Sxxxx2979xxx,Steenbergen
2022-12-04,10:12:17,5,Vxxxx8789xxx,Steenbergen
2022-12-04,10:12:17,5,Vxxxx1100xxx,Steenbergen
2022-12-04,10:11:10,10,Exxxx8237xxx,Steenbergen
2022-12-04,10:11:10,10,Exxxx9184xxx,Steenbergen
2022-12-04,10:11:10,10,Pxxxx8896xxx,Steenbergen
2022-12-04,10:11:10,10,Exxxx3299xxx,Steenbergen
2022-12-04,10:10:18,5,Zxxxx8981xxx,Zoetermeer
