Date,Time,Notetype,Maskedserial,Locality
2022-07-20,15:51:48,100,Xxxxx8445xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-20,15:51:04,100,Vxxxx7562xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx5011xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx2922xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx4526xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx4924xxx,Abuja
2022-07-11,23:32:08,20,Exxxx0356xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx0098xxx,Abuja
2022-07-11,23:32:08,20,Exxxx7420xxx,Abuja
2022-07-11,23:32:08,20,Nxxxx0515xxx,Abuja
2022-07-11,23:32:08,20,Nxxxx3335xxx,Abuja
2022-07-11,23:32:08,20,Nxxxx3262xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx6893xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx9206xxx,Abuja
2022-07-11,23:32:08,20,Uxxxx1556xxx,Abuja
2022-07-11,23:32:08,20,Nxxxx3268xxx,Abuja
2022-07-07,14:46:35,50,Sxxxx8186xxx,Abuja
2022-07-07,14:46:35,50,Sxxxx1400xxx,Abuja
2022-07-07,14:46:35,50,Pxxxx2879xxx,Abuja
2022-07-07,14:46:35,50,Wxxxx8147xxx,Abuja
2022-07-07,14:44:52,50,Wxxxx1604xxx,Abuja
2022-07-07,14:44:52,50,Uxxxx5028xxx,Abuja
2022-07-07,14:44:52,50,Sxxxx0021xxx,Abuja
2022-07-07,14:27:19,50,Exxxx4941xxx,Abuja
2022-07-07,14:27:19,50,Xxxxx7981xxx,Abuja
2022-07-07,14:27:19,50,Rxxxx7725xxx,Abuja
2022-07-07,14:27:19,50,Xxxxx8391xxx,Abuja
2022-07-07,14:27:19,50,Sxxxx1480xxx,Abuja
2022-07-07,14:27:19,50,Uxxxx3005xxx,Abuja
2022-07-07,14:27:19,50,Exxxx8067xxx,Abuja
2022-07-07,14:27:19,50,Uxxxx9768xxx,Abuja
2022-07-07,14:27:19,50,Uxxxx9468xxx,Abuja
2022-07-07,14:18:25,50,Uxxxx2403xxx,Abuja
2022-07-07,14:14:42,50,Uxxxx8821xxx,Abuja
2022-07-07,14:14:42,50,Uxxxx9880xxx,Abuja
2022-07-07,14:14:42,50,Rxxxx4116xxx,Abuja
