Date,Time,Notetype,Maskedserial,Locality
2022-11-05,19:33:46,20,Exxxx7715xxx,Doha
2022-11-05,19:33:46,10,Uxxxx1468xxx,Doha
2022-11-05,19:33:46,10,Rxxxx2110xxx,Doha
2022-11-05,19:33:46,5,Uxxxx6962xxx,Doha
2022-11-05,19:33:46,5,Zxxxx9006xxx,Doha
2022-11-05,19:33:46,5,Nxxxx9467xxx,Doha
2022-11-05,19:33:46,5,Vxxxx3140xxx,Doha
2022-07-27,20:50:49,5,Exxxx2779xxx,Doha
2022-07-27,20:50:22,5,Mxxxx9618xxx,Doha
2022-07-27,20:50:04,5,Uxxxx2690xxx,Doha
2022-07-27,20:49:47,5,Yxxxx3747xxx,Doha
2022-07-27,20:49:27,5,Yxxxx5143xxx,Doha
2022-07-27,20:48:55,5,Mxxxx9598xxx,Doha
2022-07-27,20:48:36,5,Yxxxx9671xxx,Doha
2022-07-27,20:48:19,5,Mxxxx4607xxx,Doha
2022-07-27,20:48:00,5,Mxxxx9609xxx,Doha
2022-07-27,20:47:42,5,Mxxxx8457xxx,Doha
2022-07-27,20:47:26,5,Mxxxx3508xxx,Doha
2022-07-27,20:47:11,5,Mxxxx4597xxx,Doha
2022-07-27,20:46:54,5,Mxxxx3444xxx,Doha
2022-07-27,20:46:33,5,Uxxxx5977xxx,Doha
2022-07-27,20:46:08,5,Yxxxx9804xxx,Doha
2022-07-27,20:45:51,5,Zxxxx5410xxx,Doha
2022-07-27,20:45:19,5,Uxxxx9827xxx,Doha
