Date,Time,Notetype,Maskedserial,Locality
2022-12-04,00:27:50,50,Uxxxx4290xxx,Alba Iulia
2022-12-04,00:26:06,50,Wxxxx1515xxx,Alba Iulia
2022-12-02,23:30:31,50,Sxxxx8809xxx,Alba Iulia
2022-12-02,23:28:43,50,Uxxxx2675xxx,Alba Iulia
2022-12-02,23:25:41,50,Uxxxx8666xxx,Alba Iulia
2022-12-02,23:24:05,50,Exxxx8833xxx,Alba Iulia
2022-12-02,23:22:01,50,Zxxxx2950xxx,Alba Iulia
2022-12-02,23:20:25,50,Rxxxx5281xxx,Alba Iulia
2022-12-02,23:18:26,50,Rxxxx2979xxx,Alba Iulia
2022-12-02,23:12:38,50,Exxxx9442xxx,Alba Iulia
2022-12-02,23:10:42,50,Vxxxx6295xxx,Alba Iulia
2022-12-02,23:08:17,50,Sxxxx4726xxx,Alba Iulia
2022-11-27,14:15:50,100,Rxxxx0133xxx,Odorheiu Secuiesc
2022-11-24,14:28:36,50,Zxxxx9447xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Zxxxx4379xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx8353xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Pxxxx2894xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx9584xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx0917xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx0900xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx9959xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx9606xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Vxxxx0721xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Vxxxx8387xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Vxxxx4006xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Vxxxx3057xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Vxxxx4200xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx3470xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx4122xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx6278xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx8309xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx8646xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Sxxxx9581xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx2271xxx,Cluj-Napoca
2022-11-24,14:28:36,50,Xxxxx2568xxx,Cluj-Napoca
2022-11-24,13:32:25,5,Yxxxx9874xxx,Cluj-Napoca
2022-11-23,17:05:31,20,Wxxxx7953xxx,Galati
2022-11-23,17:05:31,20,Uxxxx5131xxx,Galati
2022-11-23,17:05:31,20,Fxxxx1766xxx,Galati
2022-11-23,17:05:31,20,Exxxx1329xxx,Galati
2022-11-23,17:02:55,20,Rxxxx9173xxx,Galati
2022-11-23,17:01:36,20,Uxxxx8735xxx,Galati
2022-11-23,17:01:36,20,Rxxxx4730xxx,Galati
2022-11-23,17:01:36,20,Exxxx3171xxx,Galati
2022-11-23,17:01:36,20,Fxxxx3245xxx,Galati
2022-11-23,17:01:36,20,Wxxxx4372xxx,Galati
2022-11-23,17:01:36,20,Exxxx9640xxx,Galati
2022-11-23,17:01:36,20,Rxxxx1406xxx,Galati
2022-11-23,17:01:36,20,Rxxxx4671xxx,Galati
2022-11-23,17:01:36,20,Sxxxx1977xxx,Galati
2022-11-23,17:01:36,20,Rxxxx8213xxx,Galati
2022-11-23,16:57:07,20,Zxxxx3631xxx,Galati
2022-11-23,16:57:07,20,Uxxxx0594xxx,Galati
2022-11-23,16:57:07,20,Uxxxx6676xxx,Galati
2022-11-23,16:57:07,20,Uxxxx4803xxx,Galati
2022-11-23,16:57:07,20,Uxxxx6160xxx,Galati
2022-11-23,16:57:07,20,Exxxx0078xxx,Galati
2022-11-23,16:57:07,20,Uxxxx2345xxx,Galati
2022-11-23,16:57:06,20,Rxxxx1021xxx,Galati
2022-11-23,16:57:06,20,Uxxxx3629xxx,Galati
2022-11-23,16:57:06,20,Uxxxx3629xxx,Galati
2022-11-23,16:49:36,50,Uxxxx7660xxx,Galati
2022-11-23,16:49:36,50,Zxxxx8600xxx,Galati
2022-11-23,16:49:36,50,Vxxxx8449xxx,Galati
2022-11-23,16:49:36,50,Rxxxx4688xxx,Galati
2022-11-23,16:49:36,50,Zxxxx5244xxx,Galati
2022-11-23,16:48:10,50,Wxxxx2744xxx,Galati
2022-11-23,12:31:34,100,Wxxxx3241xxx,Bacau
2022-11-23,12:27:10,100,Rxxxx8809xxx,Bacau
2022-11-23,12:18:49,100,Xxxxx2345xxx,Bacau
2022-11-22,17:10:09,10,Pxxxx8464xxx,Aeroportul Internațional Sibiu
2022-11-22,17:10:09,20,Rxxxx2843xxx,Aeroportul Internațional Sibiu
2022-11-22,13:20:57,20,Exxxx9536xxx,Sibiu
2022-11-21,20:55:37,20,Xxxxx6168xxx,Sibiu
2022-11-20,18:47:34,200,Xxxxx9101xxx,Satu Mare
2022-11-20,18:47:34,100,Uxxxx5710xxx,Satu Mare
2022-11-20,17:10:08,50,Sxxxx8928xxx,Poiana Campina
2022-11-20,17:10:08,50,Sxxxx4756xxx,Poiana Campina
2022-11-20,17:10:08,50,Sxxxx0278xxx,Poiana Campina
2022-11-20,17:06:23,50,Vxxxx1907xxx,Poiana Campina
2022-11-20,17:06:23,50,Sxxxx1981xxx,Poiana Campina
2022-11-20,17:06:23,50,Uxxxx2023xxx,Poiana Campina
2022-11-20,17:06:23,50,Vxxxx5674xxx,Poiana Campina
2022-11-20,17:06:23,50,Vxxxx9758xxx,Poiana Campina
2022-11-19,19:41:57,20,Uxxxx3118xxx,Sibiu
2022-11-18,17:32:17,20,Uxxxx9259xxx,Sibiu
2022-11-17,19:23:04,10,Fxxxx7815xxx,Galati
