Date,Time,Notetype,Maskedserial,Locality
2022-11-01,07:40:35,20,Exxxx6642xxx,Santa Mustiola
2022-11-01,07:40:35,10,Rxxxx0605xxx,Santa Mustiola
2022-11-01,07:40:35,10,Wxxxx0316xxx,Santa Mustiola
2022-10-29,12:46:50,5,Nxxxx6091xxx,Città di San Marino
2022-10-14,12:45:38,50,Uxxxx7993xxx,San Marino
2022-10-14,12:45:38,20,Sxxxx3374xxx,San Marino
2022-10-14,12:45:38,20,Uxxxx3791xxx,San Marino
2022-10-14,12:45:38,5,Nxxxx7153xxx,San Marino
2022-10-07,21:55:30,20,Uxxxx7609xxx,Borgo Maggiore
2022-10-07,21:55:30,20,Exxxx5595xxx,Borgo Maggiore
2022-10-07,21:55:30,5,Mxxxx1091xxx,Borgo Maggiore
2022-09-25,14:43:12,5,Nxxxx7394xxx,San Marino
2022-09-25,07:54:45,20,Rxxxx0517xxx,San Marino
2022-09-25,07:54:02,20,Rxxxx7204xxx,San Marino
2022-09-25,07:52:33,20,Uxxxx8780xxx,San Marino
2022-09-25,07:51:51,20,Fxxxx6511xxx,San Marino
2022-09-25,07:51:04,5,Uxxxx1551xxx,San Marino
2022-09-15,15:56:30,5,Yxxxx5372xxx,Città di San Marino
2022-09-15,15:55:36,10,Wxxxx0679xxx,Città di San Marino
2022-09-15,15:51:39,5,Vxxxx7154xxx,Valdragone
2022-09-15,15:51:39,10,Fxxxx8409xxx,Valdragone
2022-09-06,21:22:51,5,Nxxxx8141xxx,Città di San Marino
2022-09-06,21:22:51,10,Sxxxx3615xxx,Città di San Marino
2022-09-06,21:22:51,5,Mxxxx0851xxx,Città di San Marino
2022-09-06,08:37:32,50,Pxxxx8434xxx,San Marino
2022-09-06,08:35:40,50,Sxxxx7389xxx,San Marino
2022-08-31,19:52:16,50,Sxxxx7810xxx,San Marino
2022-08-31,19:51:43,20,Uxxxx5292xxx,San Marino
2022-08-31,19:51:10,20,Uxxxx9838xxx,San Marino
2022-08-31,19:44:08,5,Mxxxx5066xxx,San Marino
2022-08-31,19:43:15,10,Nxxxx7913xxx,San Marino
2022-08-31,19:42:24,10,Fxxxx1847xxx,San Marino
2022-08-31,19:41:01,10,Exxxx0864xxx,San Marino
2022-08-28,15:27:26,5,Mxxxx6604xxx,San marino
2022-08-28,15:27:26,5,Nxxxx3466xxx,San marino
2022-08-28,15:27:26,5,Mxxxx6729xxx,San marino
2022-08-28,15:26:05,10,Vxxxx1801xxx,San marino
2022-08-28,15:26:05,10,Wxxxx6461xxx,San marino
2022-08-28,15:25:06,20,Xxxxx4562xxx,San marino
2022-08-28,15:25:06,20,Uxxxx8719xxx,San marino
2022-08-28,15:25:06,20,Sxxxx2468xxx,San marino
