Date,Time,Notetype,Maskedserial,Locality
2022-11-10,17:42:40,20,Uxxxx9338xxx,Dacar
2022-11-10,17:42:40,20,Uxxxx4043xxx,Dacar
2022-11-10,17:42:40,20,Uxxxx4875xxx,Dacar
2022-08-09,20:40:34,10,Xxxxx0974xxx,Aéroport international Blaise Diagne
2022-06-13,00:10:06,20,Exxxx4319xxx,Blaise Diagne International Airport
2022-03-27,17:12:44,20,Exxxx8799xxx,Mbour
2022-03-27,17:12:44,10,Wxxxx9841xxx,Mbour
2022-03-27,17:12:44,10,Exxxx4284xxx,Mbour
2022-03-27,17:12:44,5,Vxxxx5562xxx,Mbour
2022-03-27,17:12:44,5,Sxxxx3137xxx,Mbour
