Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:11:12,10,Wxxxx2021xxx,Prievidza
2022-12-04,11:10:12,20,Uxxxx4791xxx,Bratislava
2022-12-04,11:10:12,10,Txxxx9444xxx,Bratislava
2022-12-04,11:10:12,10,Nxxxx6880xxx,Bratislava
2022-12-04,11:10:12,10,Wxxxx5526xxx,Bratislava
2022-12-04,11:10:12,10,Vxxxx7968xxx,Bratislava
2022-12-04,11:10:12,10,Nxxxx6139xxx,Bratislava
2022-12-04,11:10:12,10,Exxxx6842xxx,Bratislava
2022-12-04,11:05:53,50,Mxxxx1223xxx,Bratislava
2022-12-04,11:05:53,20,Sxxxx9979xxx,Bratislava
2022-12-04,11:05:53,20,Wxxxx0471xxx,Bratislava
2022-12-04,11:05:53,10,Wxxxx6365xxx,Bratislava
2022-12-04,09:16:58,5,Nxxxx3945xxx,Zemianska Olča
2022-12-04,09:16:58,5,Uxxxx3841xxx,Zemianska Olča
2022-12-03,23:10:17,10,Wxxxx7025xxx,Poprad
2022-12-03,23:03:59,20,Uxxxx1251xxx,Bratislava
2022-12-03,23:03:59,20,Nxxxx1757xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx0768xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx1860xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx9622xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx9666xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx0092xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx6627xxx,Bratislava
2022-12-03,22:54:58,5,Wxxxx4241xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx0742xxx,Bratislava
2022-12-03,22:54:58,5,Vxxxx4338xxx,Bratislava
2022-12-03,22:54:58,5,Zxxxx8430xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx7238xxx,Bratislava
2022-12-03,22:54:58,5,Yxxxx8875xxx,Bratislava
2022-12-03,22:54:58,5,Mxxxx3543xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx9984xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx9961xxx,Bratislava
2022-12-03,22:54:58,5,Nxxxx6756xxx,Bratislava
2022-12-03,22:54:58,5,Mxxxx8657xxx,Bratislava
2022-12-03,22:54:58,5,Mxxxx1358xxx,Bratislava
2022-12-03,22:54:58,5,Mxxxx5169xxx,Bratislava
2022-12-03,22:52:35,5,Nxxxx4454xxx,Bratislava
2022-12-03,22:52:35,5,Nxxxx6750xxx,Bratislava
