Date,Time,Notetype,Maskedserial,Locality
2022-11-01,14:20:22,50,Uxxxx3710xxx,Johannesburg
2022-10-30,10:59:00,5,Yxxxx6144xxx,Pretoria
2022-10-29,00:05:44,50,Sxxxx4758xxx,Boksburg
2022-10-08,17:27:20,5,Yxxxx3241xxx,Simonstad
2022-10-08,17:27:20,10,Xxxxx8811xxx,Simonstad
2022-09-26,08:48:48,100,Xxxxx9177xxx,Cape Town
2022-09-23,11:53:23,100,Sxxxx9278xxx,Cape town
2022-09-23,11:53:23,100,Exxxx4663xxx,Cape town
2022-09-23,11:53:23,100,Exxxx1559xxx,Cape town
2022-09-23,11:53:23,50,Sxxxx2000xxx,Cape town
2022-09-23,11:50:48,50,Sxxxx4638xxx,Cape town
2022-09-23,11:50:01,50,Vxxxx7255xxx,Cape town
2022-09-23,11:47:19,20,Exxxx0261xxx,Cape town
2022-09-23,11:46:02,10,Nxxxx6509xxx,Cape town
2022-09-23,11:45:16,5,Nxxxx5716xxx,Cape town
2022-09-23,11:44:35,5,Yxxxx2013xxx,Cape town
2022-08-03,01:10:14,5,Exxxx7016xxx,Rondebosch
2022-08-03,01:09:47,5,Mxxxx4341xxx,Rondebosch
2022-08-03,01:09:24,5,Mxxxx5230xxx,Rondebosch
2022-08-03,01:09:05,5,Mxxxx2228xxx,Rondebosch
2022-08-03,01:08:40,5,Wxxxx5579xxx,Rondebosch
2022-07-19,13:15:25,5,Zxxxx0862xxx,Cape Town
2022-07-19,13:14:44,10,Pxxxx3353xxx,Cape Town
2022-07-19,13:14:02,20,Uxxxx3039xxx,Cape Town
2022-07-19,13:13:19,20,Wxxxx4828xxx,Cape Town
2022-07-19,13:12:05,20,Xxxxx0738xxx,Cape Town
2022-04-05,21:05:02,5,Mxxxx4219xxx,Hartbeespoort
2022-02-27,19:23:04,5,Mxxxx5139xxx,Johannesburg
