Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:20:24,50,Uxxxx1569xxx,Madrid
2022-12-04,11:13:24,5,Zxxxx6981xxx,Madrid
2022-12-04,11:13:24,5,Wxxxx1181xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx9584xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx8571xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx2613xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx4717xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx4146xxx,Madrid
2022-12-04,11:13:24,5,Exxxx6414xxx,Madrid
2022-12-04,11:13:24,5,Vxxxx5928xxx,Madrid
2022-12-04,11:10:28,50,Pxxxx2414xxx,Sabadell
2022-12-04,11:10:28,50,Vxxxx3257xxx,Sabadell
2022-12-04,11:10:28,20,Exxxx9312xxx,Sabadell
2022-12-04,11:10:28,10,Pxxxx3783xxx,Sabadell
2022-12-04,11:10:28,10,Fxxxx2775xxx,Sabadell
2022-12-04,11:10:28,10,Fxxxx0150xxx,Sabadell
2022-12-04,11:10:28,20,Uxxxx2312xxx,Sabadell
2022-12-04,11:10:28,20,Sxxxx4373xxx,Sabadell
2022-12-04,11:10:28,20,Sxxxx3131xxx,Sabadell
2022-12-04,11:10:28,10,Xxxxx7118xxx,Sabadell
2022-12-04,11:10:28,5,Wxxxx0504xxx,Sabadell
2022-12-04,11:10:21,10,Yxxxx1380xxx,Madrid
2022-12-04,11:10:21,10,Xxxxx8432xxx,Madrid
2022-12-04,11:10:21,10,Wxxxx6176xxx,Madrid
2022-12-04,11:10:21,10,Wxxxx4742xxx,Madrid
2022-12-04,11:10:21,10,Wxxxx6477xxx,Madrid
2022-12-04,11:10:21,10,Wxxxx4175xxx,Madrid
2022-12-04,11:10:21,10,Wxxxx9868xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx9031xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx4678xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx0913xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx3714xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx0720xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx9295xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx6966xxx,Madrid
2022-12-04,11:10:21,10,Vxxxx7051xxx,Madrid
2022-12-04,11:08:41,5,Vxxxx1139xxx,Zaragoza
2022-12-04,11:06:47,20,Mxxxx9957xxx,Logroño
2022-12-04,11:04:23,10,Vxxxx7242xxx,Madrid
2022-12-04,11:04:23,10,Uxxxx3932xxx,Madrid
2022-12-04,11:04:23,10,Uxxxx5112xxx,Madrid
2022-12-04,11:04:23,10,Txxxx5213xxx,Madrid
2022-12-04,11:04:23,10,Pxxxx9216xxx,Madrid
2022-12-04,11:04:23,10,Pxxxx2026xxx,Madrid
2022-12-04,11:04:23,10,Nxxxx3415xxx,Madrid
2022-12-04,11:04:23,10,Fxxxx4493xxx,Madrid
2022-12-04,11:04:23,10,Fxxxx4476xxx,Madrid
2022-12-04,11:04:23,10,Fxxxx1733xxx,Madrid
2022-12-04,11:03:07,20,Uxxxx7900xxx,Zaragoza
2022-12-04,11:00:09,10,Fxxxx3791xxx,Cantalejo
2022-12-04,11:00:09,10,Fxxxx6633xxx,Cantalejo
2022-12-04,11:00:09,10,Fxxxx8193xxx,Cantalejo
2022-12-04,11:00:09,10,Fxxxx5773xxx,Cantalejo
2022-12-04,11:00:09,10,Xxxxx9086xxx,Cantalejo
2022-12-04,11:00:01,50,Vxxxx9905xxx,Azuqueca de Henares
2022-12-04,10:57:25,20,Xxxxx0727xxx,Lastras de Cuéllar
2022-12-04,10:57:25,20,Vxxxx6442xxx,Lastras de Cuéllar
2022-12-04,10:57:25,20,Uxxxx3176xxx,Lastras de Cuéllar
2022-12-04,10:57:25,20,Uxxxx2888xxx,Lastras de Cuéllar
2022-12-04,10:54:59,20,Sxxxx9892xxx,Aguilafuente
2022-12-04,10:54:59,20,Rxxxx0858xxx,Aguilafuente
2022-12-04,10:54:59,20,Rxxxx5539xxx,Aguilafuente
2022-12-04,10:54:59,20,Rxxxx5787xxx,Aguilafuente
2022-12-04,10:54:59,20,Fxxxx5058xxx,Aguilafuente
2022-12-04,10:54:55,50,Vxxxx6307xxx,Azuqueca de Henares
2022-12-04,10:54:55,50,Vxxxx6365xxx,Azuqueca de Henares
2022-12-04,10:54:55,50,Vxxxx4534xxx,Azuqueca de Henares
2022-12-04,10:54:55,50,Pxxxx7544xxx,Azuqueca de Henares
2022-12-04,10:51:15,50,Vxxxx2764xxx,Campo de Cuéllar
2022-12-04,10:51:15,50,Vxxxx5432xxx,Campo de Cuéllar
2022-12-04,10:51:15,50,Vxxxx5430xxx,Campo de Cuéllar
2022-12-04,10:51:15,50,Vxxxx5436xxx,Campo de Cuéllar
2022-12-04,10:51:15,50,Vxxxx5434xxx,Campo de Cuéllar
2022-12-04,10:48:38,50,Vxxxx1991xxx,Pinarejos
2022-12-04,10:48:38,50,Vxxxx9097xxx,Pinarejos
2022-12-04,10:48:38,50,Vxxxx0472xxx,Pinarejos
2022-12-04,10:48:38,50,Vxxxx5481xxx,Pinarejos
2022-12-04,10:48:38,50,Vxxxx1271xxx,Pinarejos
