Date,Time,Notetype,Maskedserial,Locality
2022-07-27,21:58:40,5,Yxxxx8831xxx,Seeduwa
2022-07-27,21:58:23,5,Yxxxx4798xxx,Seeduwa
2022-07-27,21:58:05,5,Zxxxx9647xxx,Seeduwa
2022-07-27,21:57:47,5,Wxxxx1202xxx,Seeduwa
2022-07-27,21:57:23,5,Uxxxx2608xxx,Seeduwa
2022-07-27,21:57:05,5,Vxxxx6307xxx,Seeduwa
2022-07-27,21:56:48,5,Uxxxx2364xxx,Seeduwa
2022-04-10,03:33:55,5,Mxxxx3900xxx,Hikkaduwa
2022-04-10,03:33:55,5,Zxxxx0647xxx,Hikkaduwa
2022-04-10,03:33:55,10,Yxxxx9361xxx,Hikkaduwa
2022-04-10,03:33:55,10,Vxxxx7391xxx,Hikkaduwa
2022-04-10,03:33:55,10,Fxxxx9315xxx,Hikkaduwa
2022-04-10,03:33:55,10,Wxxxx1537xxx,Hikkaduwa
2022-03-29,04:57:03,50,Uxxxx3174xxx,Colombo
2022-03-29,04:53:54,50,Exxxx4237xxx,Colombo
2022-03-29,04:50:02,50,Uxxxx6528xxx,Colombo
2022-03-29,04:48:46,50,Uxxxx2743xxx,Colombo
2022-03-29,04:48:01,50,Exxxx9468xxx,Colombo
2022-03-29,04:46:37,50,Uxxxx9722xxx,Colombo
2022-03-29,04:45:50,50,Uxxxx2490xxx,Colombo
2022-03-29,04:44:28,50,Sxxxx4773xxx,Colombo
2022-03-29,04:40:31,50,Wxxxx3410xxx,Colombo
2022-03-29,04:38:06,50,Uxxxx7183xxx,Colombo
2022-03-28,12:15:23,5,Zxxxx7684xxx,Katunayake
2022-03-28,12:15:23,5,Uxxxx9817xxx,Katunayake
2022-03-28,12:15:23,5,Zxxxx4140xxx,Katunayake
2022-03-28,12:15:23,5,Sxxxx7494xxx,Katunayake
2022-03-28,12:15:23,5,Vxxxx7852xxx,Katunayake
2022-03-28,12:15:23,5,Vxxxx4238xxx,Katunayake
2022-03-28,12:15:23,5,Uxxxx3843xxx,Katunayake
2022-03-28,12:15:23,5,Nxxxx9251xxx,Katunayake
2022-03-28,12:15:23,5,Uxxxx7009xxx,Katunayake
2022-03-28,12:15:23,5,Txxxx0757xxx,Katunayake
2022-03-28,12:15:23,5,Nxxxx3585xxx,Katunayake
2022-03-28,12:15:23,5,Mxxxx0799xxx,Katunayake
2022-03-28,12:15:23,5,Nxxxx8189xxx,Katunayake
2022-03-28,12:15:23,5,Sxxxx4133xxx,Katunayake
2022-03-28,12:04:17,10,Sxxxx6052xxx,Katunayake
2022-03-28,12:04:17,10,Vxxxx8804xxx,Katunayake
2022-03-28,12:04:17,10,Exxxx9368xxx,Katunayake
2022-03-28,12:04:17,10,Fxxxx5148xxx,Katunayake
2022-03-28,12:04:17,10,Txxxx6375xxx,Katunayake
2022-03-28,12:04:17,10,Exxxx7101xxx,Katunayake
2022-03-28,12:04:17,10,Vxxxx3347xxx,Katunayake
2022-03-28,12:04:17,10,Yxxxx6246xxx,Katunayake
2022-03-28,12:04:17,10,Nxxxx1411xxx,Katunayake
2022-03-28,11:58:58,50,Sxxxx3808xxx,Katunayake
2022-03-28,11:58:58,50,Rxxxx7312xxx,Katunayake
2022-03-28,11:58:58,20,Xxxxx7053xxx,Katunayake
2022-03-25,19:15:03,10,Yxxxx5659xxx,Colombo
2022-03-25,19:15:03,10,Pxxxx7741xxx,Colombo
2022-03-25,19:15:03,10,Exxxx8510xxx,Colombo
2022-03-18,15:46:07,20,Uxxxx1646xxx,Katunayake
2022-03-18,15:46:07,20,Uxxxx9960xxx,Katunayake
2022-03-18,15:46:07,5,Vxxxx5557xxx,Katunayake
2022-03-18,15:46:07,5,Vxxxx2443xxx,Katunayake
2022-03-09,10:00:10,10,Xxxxx6523xxx,Hikkaduwa
