Date,Time,Notetype,Maskedserial,Locality
2022-12-01,09:41:14,50,Exxxx6248xxx,Mölndal
2022-12-01,09:41:14,50,Uxxxx7507xxx,Mölndal
2022-11-30,21:20:23,20,Uxxxx2844xxx,Västerås
2022-11-30,21:20:23,20,Sxxxx3829xxx,Västerås
2022-11-30,21:20:23,20,Uxxxx5328xxx,Västerås
2022-11-30,21:20:23,20,Rxxxx4490xxx,Västerås
2022-11-30,21:20:23,20,Xxxxx2632xxx,Västerås
2022-11-30,21:10:21,20,Uxxxx7954xxx,Västerås
2022-11-30,21:10:21,20,Exxxx3955xxx,Västerås
2022-11-30,21:10:21,20,Rxxxx2950xxx,Västerås
2022-11-30,21:10:21,20,Uxxxx0424xxx,Västerås
2022-11-30,21:10:21,20,Sxxxx1887xxx,Västerås
2022-11-30,21:00:59,20,Sxxxx2208xxx,Västerås
2022-11-30,21:00:59,20,Rxxxx6076xxx,Västerås
2022-11-30,21:00:59,20,Uxxxx9464xxx,Västerås
2022-11-30,21:00:59,20,Mxxxx7603xxx,Västerås
2022-11-30,21:00:59,20,Uxxxx6192xxx,Västerås
2022-11-30,20:41:16,20,Uxxxx4453xxx,Västerås
2022-11-30,20:41:16,20,Exxxx4726xxx,Västerås
2022-11-30,20:41:16,20,Exxxx1220xxx,Västerås
2022-11-30,20:41:16,20,Sxxxx2851xxx,Västerås
2022-11-30,20:41:16,20,Rxxxx3212xxx,Västerås
2022-11-30,20:41:16,20,Fxxxx0496xxx,Västerås
2022-11-30,20:41:16,10,Vxxxx8439xxx,Västerås
2022-11-30,20:41:16,5,Nxxxx3365xxx,Västerås
2022-11-27,15:13:10,10,Exxxx7211xxx,Haparanda
2022-11-27,15:12:37,10,Wxxxx2640xxx,Haparanda
2022-11-27,15:12:37,5,Vxxxx2182xxx,Haparanda
2022-11-27,15:09:07,10,Vxxxx6148xxx,Haparanda
2022-11-27,15:09:07,10,Exxxx7508xxx,Haparanda
2022-11-27,15:09:07,10,Exxxx9984xxx,Haparanda
2022-11-27,15:09:07,10,Pxxxx0424xxx,Haparanda
2022-11-27,11:43:55,20,Uxxxx2922xxx,Västerås
2022-11-27,11:43:55,20,Uxxxx0315xxx,Västerås
2022-11-27,11:43:55,20,Uxxxx3488xxx,Västerås
2022-11-27,11:43:55,20,Uxxxx0465xxx,Västerås
2022-11-27,11:43:55,20,Uxxxx5236xxx,Västerås
2022-11-27,11:43:55,20,Sxxxx9927xxx,Västerås
2022-11-27,11:43:55,20,Exxxx6524xxx,Västerås
2022-11-27,11:19:56,20,Exxxx8031xxx,Västerås
2022-11-27,11:19:56,20,Rxxxx4295xxx,Västerås
2022-11-27,11:19:56,20,Sxxxx2562xxx,Västerås
2022-11-27,11:19:56,20,Mxxxx6461xxx,Västerås
2022-11-27,11:19:56,20,Exxxx2056xxx,Västerås
2022-11-27,11:19:56,20,Exxxx2964xxx,Västerås
2022-11-27,11:19:56,20,Sxxxx2827xxx,Västerås
2022-11-27,11:19:56,20,Sxxxx8275xxx,Västerås
2022-11-27,11:19:56,20,Zxxxx3029xxx,Västerås
2022-11-27,11:19:56,20,Txxxx7479xxx,Västerås
2022-11-21,10:30:20,20,Exxxx2091xxx,Bromma
2022-11-20,10:55:38,20,Sxxxx7132xxx,Bromma
2022-11-18,23:04:38,200,Lxxxx2928xxx,Stockholm
2022-11-18,23:04:38,50,Zxxxx9414xxx,Stockholm
2022-11-18,17:41:17,20,Uxxxx0101xxx,Visby
2022-11-16,10:41:48,50,Uxxxx0331xxx,Nacka
2022-11-16,10:41:48,50,Rxxxx6134xxx,Nacka
2022-11-16,10:41:48,50,Yxxxx2853xxx,Nacka
2022-11-16,10:41:48,50,Wxxxx1661xxx,Nacka
2022-11-16,10:40:25,20,Rxxxx0542xxx,Nacka
2022-11-16,10:40:25,20,Exxxx6691xxx,Nacka
2022-11-16,10:40:25,20,Rxxxx6542xxx,Nacka
2022-11-16,10:40:25,20,Uxxxx7252xxx,Nacka
2022-11-16,10:40:25,20,Rxxxx9293xxx,Nacka
2022-11-16,06:28:23,20,Exxxx7417xxx,Visby
2022-11-15,19:24:49,20,Uxxxx6914xxx,Visby
2022-11-15,11:58:43,20,Wxxxx4448xxx,Västerås
2022-11-15,11:35:16,20,Rxxxx2507xxx,Västerås
2022-11-15,11:35:16,20,Sxxxx3953xxx,Västerås
2022-11-15,11:35:16,20,Sxxxx4367xxx,Västerås
2022-11-14,23:06:56,20,Uxxxx9239xxx,Västerås
2022-11-14,23:06:56,20,Uxxxx5641xxx,Västerås
2022-11-14,23:06:56,20,Uxxxx9462xxx,Västerås
2022-11-14,23:06:56,20,Rxxxx1482xxx,Västerås
2022-11-14,23:06:56,20,Rxxxx2988xxx,Västerås
2022-11-14,23:06:56,20,Rxxxx8009xxx,Västerås
2022-11-14,19:34:27,20,Uxxxx6383xxx,Visby
2022-11-14,19:34:27,20,Rxxxx5311xxx,Visby
2022-11-14,19:34:27,20,Exxxx0154xxx,Visby
2022-11-14,08:35:30,20,Rxxxx9801xxx,Kapellskär
2022-11-14,08:35:30,20,Rxxxx6872xxx,Kapellskär
2022-11-14,08:33:58,10,Pxxxx6467xxx,Kapellskär
2022-11-14,08:33:28,5,Vxxxx4718xxx,Kapellskär
2022-11-13,17:15:29,50,Sxxxx8108xxx,Stockholm-Arlanda Airport
2022-11-09,21:32:49,20,Sxxxx9503xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx0610xxx,Västerås
2022-11-09,21:32:49,20,Sxxxx8395xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx5190xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx7952xxx,Västerås
2022-11-09,21:32:49,20,Zxxxx2501xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx0652xxx,Västerås
2022-11-09,21:32:49,20,Exxxx6234xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx8716xxx,Västerås
2022-11-09,21:32:49,20,Uxxxx6703xxx,Västerås
2022-11-09,21:32:49,20,Rxxxx4575xxx,Västerås
2022-11-09,21:32:49,20,Sxxxx9015xxx,Västerås
2022-11-09,21:32:49,20,Rxxxx4335xxx,Västerås
2022-11-05,10:40:23,50,Rxxxx2097xxx,Arlanda
2022-10-30,17:30:53,5,Zxxxx7880xxx,Malmö
2022-10-25,21:56:23,10,Vxxxx0038xxx,Haparanda
2022-10-25,21:56:23,10,Xxxxx5907xxx,Haparanda
2022-10-25,21:56:23,5,Vxxxx3108xxx,Haparanda
2022-10-25,21:52:31,5,Yxxxx7905xxx,Haparanda
2022-10-22,22:09:47,20,Rxxxx7404xxx,Malmö
2022-10-22,22:09:28,20,Sxxxx8669xxx,Malmö
2022-10-22,22:09:10,20,Sxxxx8872xxx,Malmö
