Date,Time,Notetype,Maskedserial,Locality
2022-10-25,11:43:27,100,Rxxxx1062xxx,Damascus
2022-10-25,11:43:27,100,Wxxxx6700xxx,Damascus
2022-10-25,11:43:27,100,Exxxx2158xxx,Damascus
2022-10-25,11:43:27,100,Exxxx3572xxx,Damascus
2022-10-25,11:43:27,100,Sxxxx7470xxx,Damascus
2022-10-25,11:43:27,100,Rxxxx0696xxx,Damascus
2022-10-25,11:43:27,100,Vxxxx5923xxx,Damascus
2022-10-25,11:43:27,100,Rxxxx9578xxx,Damascus
2022-10-25,11:43:27,100,Exxxx5105xxx,Damascus
2022-10-25,11:40:23,50,Sxxxx4283xxx,Damascus
2022-10-25,11:40:23,50,Exxxx9506xxx,Damascus
2022-10-25,11:40:23,50,Wxxxx3759xxx,Damascus
2022-10-25,11:40:23,50,Rxxxx6514xxx,Damascus
2022-10-24,10:07:36,50,Wxxxx9898xxx,Palmyra
2022-10-24,10:06:58,50,Uxxxx0349xxx,Ar Raml
2022-10-24,10:05:43,50,Wxxxx0584xxx,Almishtaya
2022-10-24,10:05:43,50,Rxxxx5131xxx,Almishtaya
2022-10-24,10:05:43,50,Rxxxx0486xxx,Almishtaya
2022-10-24,10:05:43,50,Rxxxx7639xxx,Almishtaya
2022-10-24,10:02:56,50,Sxxxx2704xxx,Al-Hamah
2022-10-24,10:02:00,20,Uxxxx1760xxx,Maardes
2022-10-24,10:00:37,5,Yxxxx4539xxx,Aleppo
2022-10-24,10:00:37,5,Yxxxx2618xxx,Aleppo
2022-10-24,09:59:10,50,Pxxxx4811xxx,Homs
2022-10-24,09:59:10,50,Exxxx5682xxx,Homs
2022-10-24,09:57:21,10,Yxxxx3672xxx,Maaloula
2022-10-24,09:57:21,20,Rxxxx2275xxx,Maaloula
2022-10-24,09:55:44,10,Wxxxx5688xxx,Saidnaya
2022-10-24,09:55:44,50,Exxxx7392xxx,Saidnaya
2022-10-19,11:40:33,20,Exxxx6871xxx,Jdaidit Yabws
2022-10-19,11:40:17,20,Exxxx2072xxx,Jdaidit Yabws
2022-10-19,11:39:38,20,Rxxxx8139xxx,Jdaidit Yabws
2022-10-19,11:37:02,20,Xxxxx3908xxx,Jdaidit Yabws
2022-10-19,11:36:34,20,Uxxxx7311xxx,Jdaidit Yabws
2022-10-19,11:33:37,20,Exxxx1734xxx,Jdaidit Yabws
2022-10-19,11:32:59,20,Mxxxx4637xxx,Jdaidit Yabws
2022-10-19,11:29:22,20,Uxxxx1984xxx,Jdaidit Yabws
2022-10-19,11:28:27,20,Rxxxx5956xxx,Jdaidit Yabws
2022-04-13,07:30:13,100,Rxxxx5913xxx,Homs
