Date,Time,Notetype,Maskedserial,Locality
2022-12-04,05:07:55,10,Xxxxx4439xxx,Istanbul
2022-12-03,05:00:31,50,Uxxxx9687xxx,Istanbul
2022-12-02,20:06:29,5,Nxxxx1800xxx,Antalya
2022-12-01,20:05:35,50,Wxxxx0044xxx,Antalya International Airport
2022-11-14,12:25:45,50,Wxxxx4892xxx,Urla
2022-11-14,12:25:45,50,Wxxxx1997xxx,Urla
2022-11-14,12:25:45,50,Uxxxx0855xxx,Urla
2022-11-14,12:25:45,50,Exxxx7611xxx,Urla
2022-11-14,12:25:45,50,Exxxx7317xxx,Urla
2022-11-13,17:17:18,50,Rxxxx7291xxx,Yelki
2022-11-13,17:17:18,50,Wxxxx1985xxx,Yelki
2022-11-13,17:17:18,50,Uxxxx2380xxx,Yelki
2022-11-13,17:17:18,50,Uxxxx8719xxx,Yelki
2022-11-13,17:17:17,50,Rxxxx8926xxx,Yelki
2022-11-12,19:43:51,50,Uxxxx3273xxx,Çeşme
2022-11-12,19:43:51,50,Uxxxx3273xxx,Çeşme
2022-11-12,19:43:51,50,Rxxxx6396xxx,Çeşme
2022-11-12,19:43:51,50,Uxxxx2005xxx,Çeşme
2022-11-12,19:43:51,50,Pxxxx3093xxx,Çeşme
2022-11-12,19:43:51,50,Wxxxx3531xxx,Çeşme
2022-11-12,19:43:51,50,Sxxxx8255xxx,Çeşme
2022-11-11,19:11:32,100,Sxxxx3562xxx,Göreme
2022-11-11,19:11:32,100,Rxxxx7491xxx,Göreme
2022-11-11,19:11:32,100,Vxxxx0052xxx,Göreme
2022-11-11,19:11:32,100,Exxxx7808xxx,Göreme
2022-11-11,19:11:32,100,Exxxx8525xxx,Göreme
2022-11-11,19:11:32,100,Exxxx5370xxx,Göreme
2022-11-11,19:11:32,100,Exxxx6026xxx,Göreme
2022-11-11,19:11:32,100,Exxxx7018xxx,Göreme
2022-11-11,19:11:32,100,Exxxx8214xxx,Göreme
2022-11-11,19:11:32,100,Rxxxx8014xxx,Göreme
2022-11-11,19:11:32,100,Rxxxx1338xxx,Göreme
2022-11-11,19:11:31,100,Rxxxx1338xxx,Göreme
2022-11-11,19:11:31,100,Exxxx3958xxx,Göreme
2022-11-11,19:11:31,100,Nxxxx0564xxx,Göreme
2022-11-11,19:11:31,100,Rxxxx7825xxx,Göreme
2022-11-11,19:11:31,100,Exxxx9833xxx,Göreme
2022-11-11,19:11:31,100,Rxxxx1338xxx,Göreme
2022-11-11,19:11:31,100,Rxxxx1338xxx,Göreme
2022-11-11,19:11:31,100,Rxxxx1338xxx,Göreme
2022-11-11,19:11:31,100,Sxxxx2046xxx,Göreme
2022-11-11,19:11:31,100,Exxxx0055xxx,Göreme
2022-11-11,18:58:42,100,Exxxx0767xxx,Göreme
2022-11-11,18:40:15,200,Sxxxx6646xxx,Göreme
2022-11-11,18:40:15,200,Uxxxx8809xxx,Göreme
2022-11-11,18:40:15,200,Sxxxx7847xxx,Göreme
2022-11-11,18:40:15,200,Uxxxx1706xxx,Göreme
2022-11-11,18:40:15,200,Uxxxx2696xxx,Göreme
