Date,Time,Notetype,Maskedserial,Locality
2022-11-25,19:41:46,50,Uxxxx0081xxx,Reni
2022-11-25,19:41:46,50,Uxxxx7633xxx,Reni
2022-11-24,23:50:10,5,Uxxxx8137xxx,Reni
2022-11-24,23:50:09,5,Wxxxx4042xxx,Reni
2022-11-24,23:50:09,5,Vxxxx2570xxx,Reni
2022-11-24,23:50:09,5,Nxxxx1800xxx,Reni
2022-11-24,23:43:30,5,Nxxxx3022xxx,Reni
2022-11-24,23:43:30,5,Exxxx7520xxx,Reni
2022-11-24,23:43:30,5,Mxxxx5379xxx,Reni
2022-11-24,23:43:30,5,Vxxxx7708xxx,Reni
2022-11-24,23:43:30,5,Nxxxx9992xxx,Reni
2022-11-24,23:43:30,5,Mxxxx6776xxx,Reni
2022-11-24,23:43:30,5,Mxxxx5677xxx,Reni
2022-11-24,23:43:30,5,Txxxx7223xxx,Reni
2022-11-24,23:43:30,5,Yxxxx3645xxx,Reni
2022-11-24,23:43:30,5,Exxxx2689xxx,Reni
2022-11-24,23:43:30,5,Mxxxx2140xxx,Reni
2022-11-24,23:43:30,5,Nxxxx2474xxx,Reni
2022-11-24,23:43:30,5,Mxxxx9036xxx,Reni
2022-11-24,23:43:30,5,Uxxxx1397xxx,Reni
2022-11-24,23:34:21,10,Wxxxx3991xxx,Reni
2022-11-24,23:34:21,10,Wxxxx8288xxx,Reni
2022-11-24,23:34:21,10,Wxxxx1724xxx,Reni
2022-11-24,23:34:21,10,Wxxxx1016xxx,Reni
2022-11-24,23:34:21,10,Wxxxx5697xxx,Reni
2022-11-24,23:34:21,10,Vxxxx5640xxx,Reni
2022-11-24,23:34:21,10,Exxxx3121xxx,Reni
2022-11-24,23:34:21,10,Xxxxx3196xxx,Reni
2022-11-24,23:34:21,10,Uxxxx9244xxx,Reni
2022-11-24,23:34:21,10,Yxxxx7501xxx,Reni
2022-11-24,23:34:21,10,Vxxxx1850xxx,Reni
2022-11-24,23:34:21,10,Pxxxx4543xxx,Reni
2022-11-24,23:34:21,10,Wxxxx7692xxx,Reni
2022-11-24,23:34:21,10,Exxxx7234xxx,Reni
2022-11-24,23:34:21,10,Fxxxx7243xxx,Reni
2022-11-24,23:34:21,10,Yxxxx4706xxx,Reni
2022-11-24,23:34:21,10,Fxxxx7622xxx,Reni
2022-11-24,23:34:21,10,Fxxxx5909xxx,Reni
2022-11-24,23:34:21,10,Wxxxx4243xxx,Reni
2022-11-24,23:34:21,10,Uxxxx4557xxx,Reni
2022-11-24,15:38:30,5,Sxxxx8317xxx,Reni
2022-11-24,15:38:30,5,Wxxxx2272xxx,Reni
2022-11-24,15:38:30,5,Wxxxx3319xxx,Reni
2022-11-24,15:38:30,5,Yxxxx8884xxx,Reni
2022-11-24,15:38:30,5,Yxxxx1869xxx,Reni
2022-11-24,15:38:30,5,Vxxxx0894xxx,Reni
2022-11-24,15:38:30,5,Vxxxx6118xxx,Reni
2022-11-24,15:38:30,5,Vxxxx4125xxx,Reni
2022-11-24,15:38:30,5,Zxxxx3266xxx,Reni
2022-11-24,15:38:30,5,Zxxxx5759xxx,Reni
2022-11-24,15:38:30,5,Zxxxx0271xxx,Reni
2022-11-24,15:38:30,5,Nxxxx4223xxx,Reni
2022-11-24,15:38:30,5,Nxxxx5645xxx,Reni
2022-11-24,15:38:30,5,Nxxxx2946xxx,Reni
2022-11-24,15:38:30,5,Nxxxx4064xxx,Reni
2022-11-24,15:38:30,5,Nxxxx1147xxx,Reni
2022-11-24,15:38:30,5,Mxxxx5338xxx,Reni
2022-11-24,15:38:30,5,Mxxxx3285xxx,Reni
2022-11-24,15:38:30,5,Mxxxx0533xxx,Reni
2022-11-24,15:38:30,5,Mxxxx1274xxx,Reni
2022-11-13,00:28:39,50,Wxxxx2519xxx,Kyiv
2022-11-13,00:28:29,50,Wxxxx9195xxx,Kyiv
2022-11-13,00:27:42,50,Zxxxx2389xxx,Kyiv
2022-11-13,00:27:31,50,Zxxxx1811xxx,Kyiv
2022-11-13,00:24:45,50,Zxxxx3421xxx,Kyiv
2022-10-09,01:33:28,20,Rxxxx0591xxx,Kiev
2022-10-09,01:32:26,20,Uxxxx7210xxx,Kiev
2022-10-09,01:31:06,50,Uxxxx5453xxx,Kiev
2022-09-28,23:40:59,50,Uxxxx4876xxx,Odessa
2022-09-28,23:40:59,50,Uxxxx1776xxx,Odessa
2022-09-28,23:40:59,50,Zxxxx7562xxx,Odessa
2022-09-28,23:40:59,50,Uxxxx0866xxx,Odessa
2022-09-28,23:40:59,50,Uxxxx9891xxx,Odessa
2022-09-28,23:37:48,50,Wxxxx0275xxx,Odessa
2022-09-28,23:37:48,50,Sxxxx5691xxx,Odessa
2022-09-28,23:37:48,50,Rxxxx3248xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx7874xxx,Odessa
2022-09-28,23:37:48,50,Wxxxx0723xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx6888xxx,Odessa
2022-09-28,23:37:48,50,Wxxxx8834xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx3351xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx3351xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx3351xxx,Odessa
2022-09-28,23:37:48,50,Pxxxx4748xxx,Odessa
2022-09-28,23:37:48,50,Mxxxx9523xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx2319xxx,Odessa
2022-09-28,23:37:48,50,Vxxxx1076xxx,Odessa
2022-09-28,23:37:48,50,Zxxxx8280xxx,Odessa
2022-09-28,23:37:48,50,Vxxxx7376xxx,Odessa
2022-09-28,23:37:48,50,Mxxxx2039xxx,Odessa
2022-09-28,23:37:48,50,Rxxxx8841xxx,Odessa
2022-09-28,23:37:48,50,Pxxxx4347xxx,Odessa
2022-09-28,23:37:48,50,Uxxxx9967xxx,Odessa
2022-09-28,23:37:48,50,Zxxxx1131xxx,Odessa
2022-09-28,23:37:48,50,Xxxxx5774xxx,Odessa
2022-09-28,23:37:48,50,Pxxxx3945xxx,Odessa
2022-09-28,23:37:48,50,Fxxxx3981xxx,Odessa
2022-09-28,23:37:48,50,Xxxxx8668xxx,Odessa
2022-07-08,17:56:14,50,Xxxxx6856xxx,Lemberg
2022-07-08,17:56:14,50,Sxxxx9348xxx,Lemberg
2022-07-08,17:56:14,50,Sxxxx8308xxx,Lemberg
2022-07-08,17:56:14,50,Xxxxx2140xxx,Lemberg
2022-07-08,17:56:14,50,Xxxxx6309xxx,Lemberg
2022-07-08,17:56:14,50,Xxxxx0082xxx,Lemberg
2022-07-08,17:56:14,50,Sxxxx1241xxx,Lemberg
2022-07-08,17:56:14,50,Sxxxx2786xxx,Lemberg
2022-07-08,17:56:14,50,Sxxxx0338xxx,Lemberg
2022-07-08,17:56:13,50,Vxxxx2118xxx,Lemberg
2022-07-08,17:56:13,50,Sxxxx5368xxx,Lemberg
2022-07-08,17:56:13,50,Sxxxx3779xxx,Lemberg
2022-07-08,17:56:13,50,Sxxxx9341xxx,Lemberg
2022-07-08,17:56:13,50,Xxxxx7164xxx,Lemberg
2022-07-08,17:56:13,50,Vxxxx9259xxx,Lemberg
2022-07-08,17:56:13,50,Sxxxx9946xxx,Lemberg
