Date,Time,Notetype,Maskedserial,Locality
2022-11-28,17:21:59,50,Vxxxx1267xxx,Cheshunt
2022-11-28,17:21:59,50,Sxxxx8391xxx,Cheshunt
2022-11-28,17:21:59,50,Xxxxx0811xxx,Cheshunt
2022-11-28,17:21:59,50,Xxxxx0073xxx,Cheshunt
2022-11-28,17:21:59,50,Xxxxx4064xxx,Cheshunt
2022-11-28,17:21:06,20,Hxxxx3926xxx,Cheshunt
2022-11-28,17:21:06,20,Xxxxx9504xxx,Cheshunt
2022-11-28,17:21:06,20,Hxxxx3926xxx,Cheshunt
2022-11-28,17:21:06,20,Xxxxx9504xxx,Cheshunt
2022-11-28,17:21:06,20,Xxxxx9504xxx,Cheshunt
2022-11-28,17:21:06,20,Hxxxx3926xxx,Cheshunt
2022-11-28,17:20:03,5,Vxxxx9145xxx,Cheshunt
2022-11-28,15:57:53,20,Wxxxx4619xxx,Cheshunt
2022-11-28,15:57:53,10,Uxxxx8604xxx,Cheshunt
2022-11-28,14:23:27,100,Sxxxx2103xxx,Cheshunt
2022-11-28,14:23:27,100,Sxxxx2103xxx,Cheshunt
2022-11-28,14:23:00,50,Uxxxx7905xxx,Cheshunt
2022-11-28,14:23:00,50,Sxxxx9385xxx,Cheshunt
2022-11-28,14:23:00,50,Sxxxx9097xxx,Cheshunt
2022-11-28,14:23:00,50,Sxxxx3889xxx,Cheshunt
2022-11-25,17:50:23,50,Uxxxx5768xxx,Cheshunt
2022-11-25,17:50:23,10,Yxxxx2078xxx,Cheshunt
2022-11-25,17:50:23,5,Nxxxx8028xxx,Cheshunt
2022-11-24,18:17:55,20,Uxxxx8181xxx,Stockport
2022-11-24,18:17:08,20,Wxxxx4151xxx,Stockport
2022-11-24,18:16:43,20,Exxxx7613xxx,Stockport
2022-11-24,18:16:18,20,Sxxxx9532xxx,Stockport
2022-11-24,18:15:53,20,Exxxx6678xxx,Stockport
2022-11-24,18:15:21,10,Nxxxx9818xxx,Stockport
2022-11-24,17:45:27,20,Sxxxx3417xxx,Cheshunt
2022-11-24,17:45:27,20,Exxxx8142xxx,Cheshunt
2022-11-24,17:45:27,20,Uxxxx6850xxx,Cheshunt
2022-11-24,17:27:52,10,Yxxxx6451xxx,Cheshunt
2022-11-24,17:27:52,10,Uxxxx5551xxx,Cheshunt
2022-11-24,17:27:09,20,Exxxx5509xxx,Cheshunt
2022-11-24,17:27:09,20,Zxxxx7804xxx,Cheshunt
2022-11-24,17:27:09,20,Nxxxx1104xxx,Cheshunt
2022-11-24,17:27:09,20,Exxxx5509xxx,Cheshunt
2022-11-24,17:27:09,20,Uxxxx3583xxx,Cheshunt
2022-11-24,17:27:09,20,Rxxxx7616xxx,Cheshunt
2022-11-24,17:27:09,20,Sxxxx3657xxx,Cheshunt
2022-11-24,17:27:09,20,Exxxx5509xxx,Cheshunt
2022-11-24,17:27:09,20,Rxxxx7616xxx,Cheshunt
2022-11-24,15:06:59,10,Wxxxx7347xxx,Cheshunt
2022-11-24,15:06:59,10,Nxxxx7449xxx,Cheshunt
2022-11-24,15:06:59,10,Vxxxx9528xxx,Cheshunt
2022-11-24,15:06:59,10,Wxxxx1977xxx,Cheshunt
2022-11-24,15:06:59,10,Wxxxx9747xxx,Cheshunt
2022-11-24,15:05:36,5,Vxxxx1149xxx,Cheshunt
2022-11-24,15:05:24,20,Sxxxx1596xxx,Cheshunt
2022-11-24,15:05:24,20,Uxxxx1729xxx,Cheshunt
2022-11-24,15:05:24,20,Sxxxx4096xxx,Cheshunt
2022-11-24,15:05:23,20,Sxxxx3526xxx,Cheshunt
2022-11-24,15:05:23,20,Uxxxx6973xxx,Cheshunt
2022-11-24,15:05:23,20,Uxxxx6360xxx,Cheshunt
2022-11-24,15:05:23,20,Sxxxx1013xxx,Cheshunt
2022-11-24,13:03:56,50,Sxxxx5077xxx,Cheshunt
2022-11-24,13:03:56,50,Sxxxx4957xxx,Cheshunt
2022-11-24,13:03:56,50,Sxxxx6189xxx,Cheshunt
2022-11-24,13:03:56,50,Sxxxx4766xxx,Cheshunt
2022-11-24,13:03:56,50,Sxxxx6926xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx1888xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx8607xxx,Cheshunt
2022-11-21,17:31:44,20,Xxxxx4962xxx,Cheshunt
2022-11-21,17:31:44,20,Xxxxx3877xxx,Cheshunt
2022-11-21,17:31:44,20,Zxxxx5557xxx,Cheshunt
2022-11-21,17:31:44,20,Rxxxx3883xxx,Cheshunt
2022-11-21,17:31:44,20,Wxxxx3538xxx,Cheshunt
2022-11-21,17:31:44,20,Exxxx4967xxx,Cheshunt
2022-11-21,17:31:44,20,Exxxx7423xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx4163xxx,Cheshunt
2022-11-21,17:31:44,20,Exxxx2908xxx,Cheshunt
2022-11-21,17:31:44,20,Xxxxx4646xxx,Cheshunt
2022-11-21,17:31:44,20,Sxxxx4937xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx0015xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx9641xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx4221xxx,Cheshunt
2022-11-21,17:31:44,20,Rxxxx5251xxx,Cheshunt
2022-11-21,17:31:44,20,Rxxxx6229xxx,Cheshunt
2022-11-21,17:31:44,20,Sxxxx3379xxx,Cheshunt
2022-11-21,17:31:44,20,Uxxxx5641xxx,Cheshunt
2022-11-21,17:31:44,20,Sxxxx2575xxx,Cheshunt
