Date,Time,Notetype,Maskedserial,Locality
2022-12-03,06:07:41,10,Uxxxx6794xxx,Washington
2022-11-30,12:10:23,10,Wxxxx1305xxx,San Antonio
2022-11-23,14:21:56,50,Uxxxx8592xxx,
2022-11-23,14:21:56,50,Vxxxx1614xxx,
2022-11-23,14:21:56,50,Vxxxx0397xxx,
2022-11-23,14:21:56,50,Vxxxx0397xxx,
2022-11-21,09:57:56,10,Wxxxx6366xxx,Chicago
2022-11-21,09:57:56,10,Pxxxx5256xxx,Chicago
2022-11-20,17:48:51,50,Uxxxx1467xxx,Greenbelt
2022-11-20,17:48:03,20,Uxxxx9265xxx,Greenbelt
2022-11-20,17:47:19,5,Uxxxx4738xxx,Greenbelt
2022-11-08,06:16:31,100,Uxxxx3842xxx,Auburn
2022-11-08,06:16:02,50,Pxxxx1762xxx,Auburn
2022-11-08,06:15:25,20,Uxxxx0397xxx,Auburn
2022-11-08,06:14:40,10,Uxxxx2767xxx,Auburn
2022-11-08,06:13:58,10,Uxxxx9633xxx,Auburn
2022-11-08,06:13:12,5,Mxxxx3161xxx,Auburn
2022-11-08,06:12:19,5,Mxxxx5438xxx,Auburn
2022-11-01,22:52:14,5,Uxxxx0595xxx,Minot
2022-11-01,19:55:39,10,Vxxxx3337xxx,New York City
2022-11-01,19:54:11,10,Yxxxx9803xxx,New York City
2022-10-31,16:17:49,5,Zxxxx4655xxx,Johnson City
2022-10-31,16:16:34,10,Rxxxx5167xxx,Johnson City
2022-10-31,16:16:34,10,Rxxxx5167xxx,Johnson City
2022-10-31,16:16:34,10,Rxxxx2486xxx,Johnson City
2022-10-31,16:16:34,10,Rxxxx2486xxx,Johnson City
2022-10-31,16:16:04,5,Vxxxx0197xxx,Johnson City
2022-10-31,16:16:04,5,Vxxxx0197xxx,Johnson City
2022-10-31,16:16:04,5,Nxxxx9505xxx,Johnson City
2022-10-31,16:16:04,5,Nxxxx9505xxx,Johnson City
2022-10-31,16:09:08,20,Sxxxx1453xxx,Johnson City
2022-10-31,16:09:08,20,Uxxxx5886xxx,Johnson City
2022-10-31,16:09:08,20,Rxxxx4356xxx,Johnson City
2022-10-31,16:09:08,20,Sxxxx3928xxx,Johnson City
2022-10-31,16:09:08,20,Xxxxx5710xxx,Johnson City
2022-10-31,16:09:08,20,Uxxxx1730xxx,Johnson City
2022-10-31,16:09:08,20,Uxxxx5615xxx,Johnson City
2022-10-31,16:09:08,20,Exxxx4362xxx,Johnson City
2022-10-31,16:09:08,20,Uxxxx8274xxx,Johnson City
2022-10-31,16:09:08,20,Zxxxx7147xxx,Johnson City
