Date,Time,Notetype,Maskedserial,Locality
2022-12-04,00:51:10,20,Uxxxx8950xxx,Maracay
2022-12-04,00:51:10,20,Sxxxx9617xxx,Maracay
2022-12-04,00:46:07,20,Fxxxx4204xxx,Maracay
2022-12-04,00:45:02,20,Exxxx4767xxx,Maracay
2022-12-04,00:43:34,20,Fxxxx2251xxx,Maracay
2022-12-02,13:52:12,20,Sxxxx0548xxx,Maracay
2022-12-02,13:51:14,20,Fxxxx9272xxx,Maracay
2022-12-02,13:50:03,20,Exxxx8964xxx,Maracay
2022-12-02,13:48:53,20,Exxxx9209xxx,Maracay
2022-10-21,20:30:52,200,Nxxxx7575xxx,La Guaira
2022-04-24,22:01:10,10,Xxxxx9835xxx,Maracay
2022-03-26,17:18:37,200,Xxxxx7420xxx,Caracas
