Date,Time,Notetype,Maskedserial,Locality
2022-11-01,20:37:42,50,Exxxx4467xxx,Hanoi
2022-10-16,18:51:52,20,Rxxxx6161xxx,Da Nang
2022-10-03,16:08:33,5,Nxxxx3597xxx,Hà Nội
2022-10-03,12:04:44,50,Sxxxx7358xxx,Hà Nội
2022-10-03,12:04:44,5,Txxxx1663xxx,Hà Nội
2022-10-03,12:04:44,5,Zxxxx7780xxx,Hà Nội
2022-10-03,12:04:44,5,Wxxxx5872xxx,Hà Nội
2022-10-03,12:04:44,10,Wxxxx1172xxx,Hà Nội
2022-10-03,12:04:44,10,Txxxx2900xxx,Hà Nội
2022-10-03,12:04:44,10,Wxxxx2540xxx,Hà Nội
2022-10-03,12:04:44,10,Fxxxx8787xxx,Hà Nội
2022-09-30,13:13:01,5,Vxxxx5732xxx,Nội Bài International Airport
2022-08-16,14:50:05,100,Rxxxx9932xxx,Ho Chi Minh
2022-08-03,00:49:25,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:49:09,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:48:49,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:48:30,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:48:11,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:47:47,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:47:29,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:47:11,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:46:53,5,Mxxxx7696xxx,Biên Hòa
2022-08-03,00:45:51,5,Mxxxx7329xxx,Biên Hòa
2022-08-03,00:45:21,5,Mxxxx1531xxx,Biên Hòa
2022-06-20,08:42:13,10,Fxxxx5808xxx,Da Nang
2022-06-20,08:41:40,10,Vxxxx3634xxx,Da Nang
2022-06-20,08:41:11,10,Xxxxx6352xxx,Da Nang
2022-06-20,08:40:44,10,Uxxxx5656xxx,Da Nang
2022-06-20,08:39:55,10,Uxxxx2419xxx,Da Nang
2022-06-20,08:38:49,5,Txxxx6831xxx,Da Nang
2022-06-20,08:36:16,5,Mxxxx5830xxx,Da Nang
2022-02-03,16:03:44,5,Vxxxx6387xxx,
